Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
6.57000000000000000000e+004	0.00000000000000000000e+000	6.57000000000000000000e+004	6.92403000000000018021e-005	0.00000000000000000000e+000	-6.02599999999999980105e+001	0.00000000000000000000e+000	7.59000011486932635307e-001
6.57010000000000000000e+004	0.00000000000000000000e+000	6.57010000000000000000e+004	6.93209000000000023518e-005	0.00000000000000000000e+000	-6.01666000000000025238e+001	0.00000000000000000000e+000	1.01500001142267137766e+000
6.57020000000000000000e+004	0.00000000000000000000e+000	6.57020000000000000000e+004	6.92806000000000020769e-005	0.00000000000000000000e+000	-6.00183000000000035357e+001	0.00000000000000000000e+000	1.26900001149624586105e+000
6.57030000000000000000e+004	0.00000000000000000000e+000	6.57030000000000000000e+004	6.92605000000000054373e-005	0.00000000000000000000e+000	-6.01775999999999982037e+001	0.00000000000000000000e+000	1.52300001145340502262e+000
6.57040000000000000000e+004	0.00000000000000000000e+000	6.57040000000000000000e+004	6.92504000000000036197e-005	0.00000000000000000000e+000	-6.01775999999999982037e+001	0.00000000000000000000e+000	1.78900001139845699072e+000
6.57050000000000000000e+004	0.00000000000000000000e+000	6.57050000000000000000e+004	6.92403000000000018021e-005	0.00000000000000000000e+000	-6.01227000000000018076e+001	0.00000000000000000000e+000	2.04400001140311360359e+000
6.57060000000000000000e+004	0.00000000000000000000e+000	6.57060000000000000000e+004	6.92000999999999949703e-005	0.00000000000000000000e+000	-6.02929999999999992610e+001	0.00000000000000000000e+000	2.30300001148134469986e+000
6.57070000000000000000e+004	0.00000000000000000000e+000	6.57070000000000000000e+004	6.93041000000000061718e-005	0.00000000000000000000e+000	-6.02160999999999972943e+001	0.00000000000000000000e+000	2.55300001148134469986e+000
6.57080000000000000000e+004	0.00000000000000000000e+000	6.57080000000000000000e+004	6.92235000000000056221e-005	0.00000000000000000000e+000	-6.03093999999999965667e+001	0.00000000000000000000e+000	2.81500001146923750639e+000
6.57090000000000000000e+004	0.00000000000000000000e+000	6.57090000000000000000e+004	6.93444000000000064466e-005	0.00000000000000000000e+000	-6.02051000000000016144e+001	0.00000000000000000000e+000	3.11200001148972660303e+000
