Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
3.50004648440000019036e+004	0.00000000000000000000e+000	3.50000000000000000000e+004	7.45467550589999980578e-005	0.00000000000000000000e+000	3.71344528199999999174e+001	0.00000000000000000000e+000	1.01200000382959842682e+000
3.50015000000000000000e+004	0.00000000000000000000e+000	3.50010000000000000000e+004	7.46099176470000030430e-005	0.00000000000000000000e+000	3.71012687679999970669e+001	0.00000000000000000000e+000	1.30000000377185642719e+000
3.50025351559999980964e+004	0.00000000000000000000e+000	3.50020000000000000000e+004	7.45535508030000009178e-005	0.00000000000000000000e+000	3.71267127990000034288e+001	0.00000000000000000000e+000	1.55900000385008752346e+000
3.50034453120000034687e+004	0.00000000000000000000e+000	3.50030000000000000000e+004	7.44947610659999978362e-005	0.00000000000000000000e+000	3.70703506469999979345e+001	0.00000000000000000000e+000	1.80200000386685132980e+000
3.50044257809999980964e+004	0.00000000000000000000e+000	3.50040000000000000000e+004	7.45140423529999982146e-005	0.00000000000000000000e+000	3.71635284420000004957e+001	0.00000000000000000000e+000	2.04300000378862023354e+000
3.50056367190000019036e+004	0.00000000000000000000e+000	3.50050000000000000000e+004	7.45468496460000007702e-005	0.00000000000000000000e+000	3.70697746279999975627e+001	0.00000000000000000000e+000	2.29000000376254320145e+000
3.50064726559999980964e+004	0.00000000000000000000e+000	3.50060000000000000000e+004	7.46558071110000053298e-005	0.00000000000000000000e+000	3.71193008420000012393e+001	0.00000000000000000000e+000	2.53300000377930700779e+000
3.50072617190000019036e+004	0.00000000000000000000e+000	3.50070000000000000000e+004	7.46087098379999988720e-005	0.00000000000000000000e+000	3.71399993899999998348e+001	0.00000000000000000000e+000	2.77600000379607081413e+000
3.50084179690000019036e+004	0.00000000000000000000e+000	3.50080000000000000000e+004	7.46026053090000009372e-005	0.00000000000000000000e+000	3.70908546450000002892e+001	0.00000000000000000000e+000	3.01700000383425503969e+000
3.50093828120000034687e+004	0.00000000000000000000e+000	3.50090000000000000000e+004	7.45701618139999968969e-005	0.00000000000000000000e+000	3.71249618530000020655e+001	0.00000000000000000000e+000	3.26600000378675758839e+000
3.50103750000000000000e+004	0.00000000000000000000e+000	3.50100000000000000000e+004	7.45181750970000031636e-005	0.00000000000000000000e+000	3.71416893009999995456e+001	0.00000000000000000000e+000	3.50700000382494181395e+000
3.50115742190000019036e+004	0.00000000000000000000e+000	3.50110000000000000000e+004	7.45347497289999941271e-005	0.00000000000000000000e+000	3.69921035770000017351e+001	0.00000000000000000000e+000	3.75500000384636223316e+000
3.50122070309999980964e+004	0.00000000000000000000e+000	3.50120000000000000000e+004	7.45424404159999938512e-005	0.00000000000000000000e+000	3.71557464600000031396e+001	0.00000000000000000000e+000	4.00100000377278774977e+000
3.50134453120000034687e+004	0.00000000000000000000e+000	3.50130000000000000000e+004	7.46008372519999998903e-005	0.00000000000000000000e+000	3.71223640440000011154e+001	0.00000000000000000000e+000	4.24900000379420816898e+000
3.50142617190000019036e+004	0.00000000000000000000e+000	3.50140000000000000000e+004	7.46657606209999994340e-005	0.00000000000000000000e+000	3.70698814389999995456e+001	0.00000000000000000000e+000	4.49600000376813113689e+000
3.50152187500000000000e+004	0.00000000000000000000e+000	3.50150000000000000000e+004	7.45749130149999967399e-005	0.00000000000000000000e+000	3.70692176820000014459e+001	0.00000000000000000000e+000	4.73900000378489494324e+000
3.50163867190000019036e+004	0.00000000000000000000e+000	3.50160000000000000000e+004	7.46489313309999988604e-005	0.00000000000000000000e+000	3.71205940250000026026e+001	0.00000000000000000000e+000	4.98900000378489494324e+000
