Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
6.57000000000000000000e+004	0.00000000000000000000e+000	6.57000000000000000000e+004	6.93980999999999954462e-005	0.00000000000000000000e+000	-6.00292999999999992156e+001	0.00000000000000000000e+000	7.72000047727487981319e-001
6.57010000000000000000e+004	0.00000000000000000000e+000	6.57010000000000000000e+004	6.93678999999999969890e-005	0.00000000000000000000e+000	-6.00731999999999999318e+001	0.00000000000000000000e+000	1.02600004768464714289e+000
6.57020000000000000000e+004	0.00000000000000000000e+000	6.57020000000000000000e+004	6.94652999999999937186e-005	0.00000000000000000000e+000	-6.01227000000000018076e+001	0.00000000000000000000e+000	1.28400004771538078785e+000
6.57030000000000000000e+004	0.00000000000000000000e+000	6.57030000000000000000e+004	6.93275999999999967141e-005	0.00000000000000000000e+000	-6.00731999999999999318e+001	0.00000000000000000000e+000	1.54900004772935062647e+000
6.57040000000000000000e+004	0.00000000000000000000e+000	6.57040000000000000000e+004	6.94887999999999978135e-005	0.00000000000000000000e+000	-6.00897000000000005571e+001	0.00000000000000000000e+000	1.81000004766974598169e+000
6.57040000000000000000e+004	0.00000000000000000000e+000	6.57050000000000000000e+004	6.93947999999999949865e-005	0.00000000000000000000e+000	-6.00183000000000035357e+001	0.00000000000000000000e+000	2.07200004765763878822e+000
6.57060000000000000000e+004	0.00000000000000000000e+000	6.57060000000000000000e+004	6.94249999999999934438e-005	0.00000000000000000000e+000	-6.00292999999999992156e+001	0.00000000000000000000e+000	2.33300004771444946527e+000
6.57070000000000000000e+004	0.00000000000000000000e+000	6.57070000000000000000e+004	6.94350000000000018184e-005	0.00000000000000000000e+000	-6.01007000000000033424e+001	0.00000000000000000000e+000	2.58700004767160862684e+000
6.57080000000000000000e+004	0.00000000000000000000e+000	6.57080000000000000000e+004	6.94517999999999979983e-005	0.00000000000000000000e+000	-6.00897000000000005571e+001	0.00000000000000000000e+000	2.85200004768557846546e+000
6.57090000000000000000e+004	0.00000000000000000000e+000	6.57090000000000000000e+004	6.94955000000000057284e-005	0.00000000000000000000e+000	-6.00731999999999999318e+001	0.00000000000000000000e+000	3.11000004771631211042e+000
6.57100000000000000000e+004	0.00000000000000000000e+000	6.57100000000000000000e+004	6.94215999999999995411e-005	0.00000000000000000000e+000	-6.01336999999999974875e+001	0.00000000000000000000e+000	3.37000004772562533617e+000
6.57110000000000000000e+004	0.00000000000000000000e+000	6.57110000000000000000e+004	6.94618999999999998159e-005	0.00000000000000000000e+000	-6.00731999999999999318e+001	0.00000000000000000000e+000	3.62800004763994365931e+000
6.57120000000000000000e+004	0.00000000000000000000e+000	6.57120000000000000000e+004	6.94114999999999977235e-005	0.00000000000000000000e+000	-6.00731999999999999318e+001	0.00000000000000000000e+000	3.89000004762783646584e+000
6.57130000000000000000e+004	0.00000000000000000000e+000	6.57130000000000000000e+004	6.95323999999999985480e-005	0.00000000000000000000e+000	-6.01227000000000018076e+001	0.00000000000000000000e+000	4.14200004772283136845e+000
