Time1	2B
6.99998931959271430969e-002	2.30440000000000004832e+001
1.52999893180094659328e-001	2.30440000000000004832e+001
2.31999893207103013992e-001	2.30440000000000004832e+001
3.10999893234111368656e-001	2.30420000000000015916e+001
3.91999893239699304104e-001	2.30450000000000017053e+001
4.72999893245287239552e-001	2.30450000000000017053e+001
5.50999893224798142910e-001	2.30459999999999993747e+001
6.35999893187545239925e-001	2.30420000000000015916e+001
7.15999893145635724068e-001	2.30420000000000015916e+001
7.94999893172644078732e-001	2.30410000000000003695e+001
8.75999893178232014179e-001	2.30420000000000015916e+001
9.54999893205240368843e-001	2.30420000000000015916e+001
1.03399989323224872351e+000	2.30420000000000015916e+001
1.11799989314749836922e+000	2.30399999999999991473e+001
1.19699989317450672388e+000	2.30399999999999991473e+001
1.27699989313259720802e+000	2.30420000000000015916e+001
1.35699989320710301399e+000	2.30429999999999992610e+001
1.43799989321269094944e+000	2.30429999999999992610e+001
1.51699989323969930410e+000	2.30399999999999991473e+001
1.59799989324528723955e+000	2.30390000000000014779e+001
1.67699989315588027239e+000	2.30390000000000014779e+001
1.75699989323038607836e+000	2.30390000000000014779e+001
1.83599989314097911119e+000	2.30390000000000014779e+001
1.91499989316798746586e+000	2.30390000000000014779e+001
1.99399989319499582052e+000	2.30399999999999991473e+001
2.07399989315308630466e+000	2.30399999999999991473e+001
2.15299989318009465933e+000	2.30399999999999991473e+001
2.23199989320710301399e+000	2.30360000000000013642e+001
2.31999989319592714310e+000	2.30380000000000002558e+001
2.39899989322293549776e+000	2.30380000000000002558e+001
2.47699989320244640112e+000	2.30360000000000013642e+001
2.55799989320803433657e+000	2.30399999999999991473e+001
2.63699989323504269123e+000	2.30399999999999991473e+001
2.71699989319313317537e+000	2.30369999999999990337e+001
2.79699989315122365952e+000	2.30369999999999990337e+001
2.87599989317823201418e+000	2.30369999999999990337e+001
2.95499989320524036884e+000	2.30360000000000013642e+001
3.03399989323224872351e+000	2.30360000000000013642e+001
3.11299989314284175634e+000	2.30360000000000013642e+001
3.19799989322200417519e+000	2.30369999999999990337e+001
3.27799989318009465933e+000	2.30369999999999990337e+001
3.35699989320710301399e+000	2.30369999999999990337e+001
3.43599989323411136866e+000	2.30360000000000013642e+001
3.51799989317078143358e+000	2.30350000000000001421e+001
3.59799989324528723955e+000	2.30350000000000001421e+001
3.67699989315588027239e+000	2.30330000000000012506e+001
3.75699989323038607836e+000	2.30339999999999989200e+001
3.83699989318847656250e+000	2.30339999999999989200e+001
3.91699989314656704664e+000	2.30330000000000012506e+001
3.99599989317357540131e+000	2.30330000000000012506e+001
4.07499989320058375597e+000	2.30330000000000012506e+001
4.15499989315867424011e+000	2.30320000000000000284e+001
5.04799989319872111082e+000	2.30309999999999988063e+001
5.12699989322572946548e+000	2.30320000000000000284e+001
5.20599989313632249832e+000	2.30289999999999999147e+001
5.28699989314191043377e+000	2.30289999999999999147e+001
5.36599989316891878843e+000	2.30309999999999988063e+001
5.44499989319592714310e+000	2.30309999999999988063e+001
5.52499989315401762724e+000	2.30309999999999988063e+001
5.60399989318102598190e+000	2.30320000000000000284e+001
5.68399989313911646605e+000	2.30320000000000000284e+001
5.76299989316612482071e+000	2.30320000000000000284e+001
5.84099989314563572407e+000	2.30300000000000011369e+001
5.92099989322014153004e+000	2.30309999999999988063e+001
5.99999989313073456287e+000	2.30309999999999988063e+001
6.07799989322666078806e+000	2.30309999999999988063e+001
6.15899989323224872351e+000	2.30279999999999986926e+001
6.23699989321175962687e+000	2.30279999999999986926e+001
6.31499989319127053022e+000	2.30279999999999986926e+001
6.39699989324435591698e+000	2.30300000000000011369e+001
6.47599989315494894981e+000	2.30300000000000011369e+001
6.55499989318195730448e+000	2.30279999999999986926e+001
6.63599989318754523993e+000	2.30289999999999999147e+001
6.71499989321455359459e+000	2.30289999999999999147e+001
6.79399989324156194925e+000	2.30279999999999986926e+001
6.87399989319965243340e+000	2.30279999999999986926e+001
6.95299989322666078806e+000	2.30279999999999986926e+001
7.03199989313725382090e+000	2.30279999999999986926e+001
7.11499989323783665895e+000	2.30279999999999986926e+001
7.19399989314842969179e+000	2.30279999999999986926e+001
7.27299989317543804646e+000	2.30279999999999986926e+001
7.35399989318102598190e+000	2.30259999999999998010e+001
7.43299989320803433657e+000	2.30259999999999998010e+001
7.51199989323504269123e+000	2.30249999999999985789e+001
7.59499989321921020746e+000	2.30249999999999985789e+001
7.67399989324621856213e+000	2.30249999999999985789e+001
7.75299989315681159496e+000	2.30259999999999998010e+001
7.83399989316239953041e+000	2.30259999999999998010e+001
7.91299989318940788507e+000	2.30259999999999998010e+001
7.99199989321641623974e+000	2.30259999999999998010e+001
8.07399989315308630466e+000	2.30259999999999998010e+001
8.15299989318009465933e+000	2.30259999999999998010e+001
8.23199989320710301399e+000	2.30249999999999985789e+001
8.31399989314377307892e+000	2.30240000000000009095e+001
8.39299989317078143358e+000	2.30240000000000009095e+001
8.47199989319778978825e+000	2.30249999999999985789e+001
8.55399989313445985317e+000	2.30249999999999985789e+001
8.63299989316146820784e+000	2.30249999999999985789e+001
8.71199989318847656250e+000	2.30240000000000009095e+001
8.79699989315122365952e+000	2.30249999999999985789e+001
8.87599989317823201418e+000	2.30249999999999985789e+001
8.95499989320524036884e+000	2.30229999999999996874e+001
9.03499989316333085299e+000	2.30229999999999996874e+001
9.11399989319033920765e+000	2.30229999999999996874e+001
9.19299989321734756231e+000	2.30249999999999985789e+001
9.27699989313259720802e+000	2.30240000000000009095e+001
9.35499989322852343321e+000	2.30240000000000009095e+001
9.43399989313911646605e+000	2.30219999999999984652e+001
9.51599989319220185280e+000	2.30210000000000007958e+001
9.59399989317171275616e+000	2.30210000000000007958e+001
9.67399989324621856213e+000	2.30229999999999996874e+001
9.75599989318288862705e+000	2.30229999999999996874e+001
9.83499989320989698172e+000	2.30229999999999996874e+001
9.91399989323690533638e+000	2.30219999999999984652e+001
9.99499989324249327183e+000	2.30219999999999984652e+001
1.00739998931530863047e+001	2.30219999999999984652e+001
1.01529998931800946593e+001	2.30229999999999996874e+001
1.02329998931381851435e+001	2.30189999999999983515e+001
1.03119998931651934981e+001	2.30189999999999983515e+001
1.03909998931922018528e+001	2.30189999999999983515e+001
1.04699998932192102075e+001	2.30219999999999984652e+001
1.05489998932462185621e+001	2.30219999999999984652e+001
1.06279998931568115950e+001	2.30199999999999995737e+001
1.07089998931623995304e+001	2.30180000000000006821e+001
1.07879998931894078851e+001	2.30180000000000006821e+001
1.08669998932164162397e+001	2.30180000000000006821e+001
1.09529998932266607881e+001	2.30189999999999983515e+001
1.10329998931847512722e+001	2.30189999999999983515e+001
1.11109998931642621756e+001	2.30189999999999983515e+001
1.11929998932173475623e+001	2.30189999999999983515e+001
1.12719998932443559170e+001	2.30189999999999983515e+001
1.13509998931549489498e+001	2.30210000000000007958e+001
1.14309998932294547558e+001	2.30189999999999983515e+001
1.15109998931875452399e+001	2.30189999999999983515e+001
1.15899998932145535946e+001	2.30189999999999983515e+001
1.16709998932201415300e+001	2.30199999999999995737e+001
1.17499998931307345629e+001	2.30199999999999995737e+001
1.18289998931577429175e+001	2.30180000000000006821e+001
1.19139998932369053364e+001	2.30169999999999994600e+001
1.19929998931474983692e+001	2.30169999999999994600e+001
1.20729998932220041752e+001	2.30180000000000006821e+001
1.21569998931372538209e+001	2.30169999999999994600e+001
1.22359998931642621756e+001	2.30169999999999994600e+001
1.23149998931912705302e+001	2.30169999999999994600e+001
1.23949998931493610144e+001	2.30169999999999994600e+001
1.24739998931763693690e+001	2.30169999999999994600e+001
1.25529998932033777237e+001	2.30150000000000005684e+001
1.26339998932089656591e+001	2.30180000000000006821e+001
1.27139998931670561433e+001	2.30180000000000006821e+001
1.27929998931940644979e+001	2.30169999999999994600e+001
1.28789998932043090463e+001	2.30159999999999982379e+001
1.29589998931623995304e+001	2.30159999999999982379e+001
1.30379998931894078851e+001	2.30159999999999982379e+001
1.31179998931474983692e+001	2.30150000000000005684e+001
1.31969998931745067239e+001	2.30150000000000005684e+001
1.32749998931540176272e+001	2.30169999999999994600e+001
1.33549998932285234332e+001	2.30130000000000016769e+001
1.34339998931391164660e+001	2.30130000000000016769e+001
1.35139998932136222720e+001	2.30169999999999994600e+001
1.35989998931763693690e+001	2.30139999999999993463e+001
1.36789998931344598532e+001	2.30139999999999993463e+001
1.37579998931614682078e+001	2.30139999999999993463e+001
1.38389998931670561433e+001	2.30159999999999982379e+001
1.39189998932415619493e+001	2.30159999999999982379e+001
1.39989998931996524334e+001	2.30130000000000016769e+001
1.40809998931363224983e+001	2.30159999999999982379e+001
1.41609998932108283043e+001	2.30159999999999982379e+001
1.42409998931689187884e+001	2.30139999999999993463e+001
1.43199998931959271431e+001	2.30130000000000016769e+001
1.43989998932229354978e+001	2.30130000000000016769e+001
1.44779998931335285306e+001	2.30130000000000016769e+001
