Time	Theta
29.107	86.39471
29.185	86.39458
29.263	86.39678
29.341	86.39448
29.419	86.39433
29.512	86.39807
29.59	86.39729
29.668	86.39878
29.762	86.39787
29.84	86.39745
29.918	86.39838
30.012	86.39852
30.09	86.39933
30.168	86.39747
30.261	86.39927
30.339	86.39879
30.417	86.39915
30.495	86.40209
30.573	86.40044
30.651	86.40308
30.745	86.3991
30.823	86.40012
30.872	86.4009
30.996	86.40256
31.074	86.40417
31.152	86.40089
31.23	86.4017
31.308	86.4033
31.386	86.40269
31.48	86.40321
31.542	86.40263
31.62	86.40434
31.714	86.40522
31.792	86.40409
31.87	86.40333
31.964	86.40308
32.026	86.40587
32.104	86.40547
32.182	86.4062
32.26	86.40587
32.338	86.4062
32.432	86.40553
32.51	86.40653
32.588	86.4071
32.681	86.40614
32.759	86.40743
32.837	86.40704
32.931	86.40894
33.009	86.40915
33.087	86.40814
33.18	86.40732
33.258	86.40851
33.336	86.40932
33.414	86.40983
33.492	86.41037
33.57	86.40959
33.664	86.40993
33.742	86.41017
33.82	86.40933
33.914	86.41237
33.992	86.41117
34.07	86.41109
34.148	86.41125
34.226	86.41119
34.304	86.41302
34.397	86.41187
34.475	86.41122
34.553	86.41479
34.647	86.41257
34.725	86.41283
34.803	86.41668
34.881	86.41595
34.959	86.41544
35.037	86.41586
35.13	86.41705
35.208	86.41748
35.286	86.41539
35.364	86.41595
35.442	86.41403
35.52	86.41441
35.598	86.41795
35.676	86.418
35.754	86.41802
35.848	86.42018
35.926	86.41845
36.004	86.41917
36.082	86.41994
36.16	86.41811
36.238	86.41898
36.332	86.41778
36.41	86.42043
36.488	86.42034
36.581	86.42011
36.659	86.41989
36.737	86.4214
36.831	86.42091
36.909	86.42094
36.987	86.42283
37.08	86.42342
37.158	86.42202
37.236	86.42295
37.33	86.42609
37.408	86.42739
37.486	86.42669
37.58	86.4264
37.658	86.42573
37.736	86.42672
37.829	86.42915
37.907	86.42747
37.985	86.42879
38.079	86.43041
38.157	86.43242
38.235	86.43133
38.328	86.43137
38.406	86.43135
38.484	86.43304
38.562	86.43238
38.64	86.43404
38.718	86.43426
38.796	86.43547
38.874	86.43491
38.952	86.43513
39.046	86.43403
39.124	86.43543
39.202	86.43571
39.28	86.43509
39.358	86.43592
39.436	86.436
39.514	86.43771
39.592	86.43797
39.67	86.43863
39.748	86.4384
39.826	86.43826
39.904	86.44205
39.997	86.43971
40.075	86.44175
40.153	86.44391
40.247	86.44274
40.325	86.44164
40.403	86.4442
40.481	86.44363
40.559	86.44295
40.637	86.44398
40.731	86.44615
40.809	86.4463
40.887	86.44769
40.965	86.44796
41.043	86.44588
41.123	86.44759
41.216	86.44888
41.294	86.44865
41.372	86.44765
41.466	86.44592
41.544	86.44796
41.622	86.44731
41.7	86.44923
41.778	86.44808
41.856	86.45017
41.949	86.44703
42.027	86.45185
42.105	86.44876
42.199	86.44846
42.277	86.45025
42.357	86.45132
42.451	86.44991
42.529	86.44924
42.607	86.45117
42.7	86.45384
42.778	86.45238
42.856	86.45384
42.95	86.45393
43.028	86.45667
43.106	86.45451
43.199	86.4578
43.277	86.45906
43.355	86.45837
43.449	86.46085
43.527	86.45815
43.605	86.45919
43.699	86.46176
43.777	86.46259
43.855	86.46229
43.933	86.46118
44.011	86.46394
44.089	86.46346
44.167	86.46417
