Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
5.79001000000000000000e+005	0.00000000000000000000e+000	5.79000000000000000000e+005	4.60337999999999996107e-005	0.00000000000000000000e+000	2.26043999999999982720e+001	0.00000000000000000000e+000	7.61000064900144934654e-001
5.79004000000000000000e+005	0.00000000000000000000e+000	5.79002000000000000000e+005	4.59934999999999993359e-005	0.00000000000000000000e+000	2.25330000000000012506e+001	0.00000000000000000000e+000	1.01800006488338112831e+000
5.79006000000000000000e+005	0.00000000000000000000e+000	5.79004000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.25658999999999991815e+001	0.00000000000000000000e+000	1.27500006486661732197e+000
5.79007000000000000000e+005	0.00000000000000000000e+000	5.79006000000000000000e+005	4.60236999999999977931e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	1.53100006480235606432e+000
5.79009000000000000000e+005	0.00000000000000000000e+000	5.79008000000000000000e+005	4.61444999999999983984e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	1.79100006481166929007e+000
5.79011000000000000000e+005	0.00000000000000000000e+000	5.79010000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.25658999999999991815e+001	0.00000000000000000000e+000	2.04900006484240293503e+000
5.79013000000000000000e+005	0.00000000000000000000e+000	5.79012000000000000000e+005	4.60539000000000030267e-005	0.00000000000000000000e+000	2.25658999999999991815e+001	0.00000000000000000000e+000	2.30300006479956209660e+000
5.79015000000000000000e+005	0.00000000000000000000e+000	5.79014000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.25879000000000011994e+001	0.00000000000000000000e+000	2.56300006480887532234e+000
5.79017000000000000000e+005	0.00000000000000000000e+000	5.79016000000000000000e+005	4.59733000000000024770e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	2.82800006482284516096e+000
5.79019000000000000000e+005	0.00000000000000000000e+000	5.79018000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.25548999999999999488e+001	0.00000000000000000000e+000	3.08100006484892219305e+000
5.79021000000000000000e+005	0.00000000000000000000e+000	5.79020000000000000000e+005	4.60942000000000033015e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	3.34100006485823541880e+000
5.79023000000000000000e+005	0.00000000000000000000e+000	5.79022000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	3.60000006482005119324e+000
5.79025000000000000000e+005	0.00000000000000000000e+000	5.79024000000000000000e+005	4.61142999999999999411e-005	0.00000000000000000000e+000	2.25330000000000012506e+001	0.00000000000000000000e+000	3.85200006479863077402e+000
5.79028000000000000000e+005	0.00000000000000000000e+000	5.79026000000000000000e+005	4.60337999999999996107e-005	0.00000000000000000000e+000	2.23517000000000010118e+001	0.00000000000000000000e+000	4.11200006480794399977e+000
5.79029000000000000000e+005	0.00000000000000000000e+000	5.79028000000000000000e+005	4.60236999999999977931e-005	0.00000000000000000000e+000	2.26372999999999997556e+001	0.00000000000000000000e+000	4.37000006483867764473e+000
5.79031000000000000000e+005	0.00000000000000000000e+000	5.79030000000000000000e+005	4.60539000000000030267e-005	0.00000000000000000000e+000	2.25548999999999999488e+001	0.00000000000000000000e+000	4.63100006489548832178e+000
5.79034000000000000000e+005	0.00000000000000000000e+000	5.79032000000000000000e+005	4.60539000000000030267e-005	0.00000000000000000000e+000	2.25548999999999999488e+001	0.00000000000000000000e+000	4.89900006481911987066e+000
5.79035000000000000000e+005	0.00000000000000000000e+000	5.79034000000000000000e+005	4.60739999999999996663e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	5.15000006486661732197e+000
5.79037000000000000000e+005	0.00000000000000000000e+000	5.79036000000000000000e+005	4.61244000000000017587e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	5.40700006484985351562e+000
5.79040000000000000000e+005	0.00000000000000000000e+000	5.79038000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	5.66600006481166929007e+000
5.79042000000000000000e+005	0.00000000000000000000e+000	5.79040000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	5.92000006488524377346e+000
5.79043000000000000000e+005	0.00000000000000000000e+000	5.79042000000000000000e+005	4.60739999999999996663e-005	0.00000000000000000000e+000	2.25879000000000011994e+001	0.00000000000000000000e+000	6.18000006489455699921e+000
5.79045000000000000000e+005	0.00000000000000000000e+000	5.79044000000000000000e+005	4.61042999999999983428e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	6.43800006480887532234e+000
5.79047000000000000000e+005	0.00000000000000000000e+000	5.79046000000000000000e+005	4.62452000000000023640e-005	0.00000000000000000000e+000	2.29724000000000003752e+001	0.00000000000000000000e+000	6.69100006483495235443e+000
5.79049000000000000000e+005	0.00000000000000000000e+000	5.79048000000000000000e+005	4.59733000000000024770e-005	0.00000000000000000000e+000	2.24944999999999986073e+001	0.00000000000000000000e+000	6.95800006482750177383e+000
5.79052000000000000000e+005	0.00000000000000000000e+000	5.79050000000000000000e+005	4.59733000000000024770e-005	0.00000000000000000000e+000	2.24944999999999986073e+001	0.00000000000000000000e+000	7.22000006481539458036e+000
5.79053000000000000000e+005	0.00000000000000000000e+000	5.79052000000000000000e+005	4.60539000000000030267e-005	0.00000000000000000000e+000	2.24341000000000008185e+001	0.00000000000000000000e+000	7.48000006482470780611e+000
5.79054000000000000000e+005	0.00000000000000000000e+000	5.79054000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.25879000000000011994e+001	0.00000000000000000000e+000	7.74000006483402103186e+000
5.79057000000000000000e+005	0.00000000000000000000e+000	5.79056000000000000000e+005	4.60236999999999977931e-005	0.00000000000000000000e+000	2.25768999999999984141e+001	0.00000000000000000000e+000	7.99500006483867764473e+000
5.79059000000000000000e+005	0.00000000000000000000e+000	5.79058000000000000000e+005	4.61142999999999999411e-005	0.00000000000000000000e+000	2.25658999999999991815e+001	0.00000000000000000000e+000	8.25700006482657045126e+000
5.79061000000000000000e+005	0.00000000000000000000e+000	5.79060000000000000000e+005	4.60539000000000030267e-005	0.00000000000000000000e+000	2.25330000000000012506e+001	0.00000000000000000000e+000	8.51800006488338112831e+000
5.79063000000000000000e+005	0.00000000000000000000e+000	5.79062000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.25768999999999984141e+001	0.00000000000000000000e+000	8.76700006483588367701e+000
5.79065000000000000000e+005	0.00000000000000000000e+000	5.79064000000000000000e+005	4.61244000000000017587e-005	0.00000000000000000000e+000	2.25548999999999999488e+001	0.00000000000000000000e+000	9.03100006480235606432e+000
5.79068000000000000000e+005	0.00000000000000000000e+000	5.79066000000000000000e+005	4.60236999999999977931e-005	0.00000000000000000000e+000	2.26263000000000005230e+001	0.00000000000000000000e+000	9.29900006484240293503e+000
5.79069000000000000000e+005	0.00000000000000000000e+000	5.79068000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	9.56100006483029574156e+000
5.79072000000000000000e+005	0.00000000000000000000e+000	5.79070000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.25658999999999991815e+001	0.00000000000000000000e+000	9.82100006483960896730e+000
5.79074000000000000000e+005	0.00000000000000000000e+000	5.79072000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.24944999999999986073e+001	0.00000000000000000000e+000	1.00740000648656859994e+001
5.79076000000000000000e+005	0.00000000000000000000e+000	5.79074000000000000000e+005	4.60539000000000030267e-005	0.00000000000000000000e+000	2.25330000000000012506e+001	0.00000000000000000000e+000	1.03350000648060813546e+001
5.79078000000000000000e+005	0.00000000000000000000e+000	5.79076000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	1.05920000649057328701e+001
5.79080000000000000000e+005	0.00000000000000000000e+000	5.79078000000000000000e+005	4.61042999999999983428e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	1.08580000648507848382e+001
5.79081000000000000000e+005	0.00000000000000000000e+000	5.79080000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.24506000000000014438e+001	0.00000000000000000000e+000	1.11210000648861750960e+001
5.79083000000000000000e+005	0.00000000000000000000e+000	5.79082000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.26978000000000008640e+001	0.00000000000000000000e+000	1.13760000648908317089e+001
5.79084000000000000000e+005	0.00000000000000000000e+000	5.79084000000000000000e+005	4.60438000000000012091e-005	0.00000000000000000000e+000	2.25548999999999999488e+001	0.00000000000000000000e+000	1.16340000648051500320e+001
5.79087000000000000000e+005	0.00000000000000000000e+000	5.79086000000000000000e+005	4.60337999999999996107e-005	0.00000000000000000000e+000	2.24944999999999986073e+001	0.00000000000000000000e+000	1.18920000648358836770e+001
5.79089000000000000000e+005	0.00000000000000000000e+000	5.79088000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.25879000000000011994e+001	0.00000000000000000000e+000	1.21460000647930428386e+001
5.79091000000000000000e+005	0.00000000000000000000e+000	5.79090000000000000000e+005	4.60739999999999996663e-005	0.00000000000000000000e+000	2.26263000000000005230e+001	0.00000000000000000000e+000	1.24050000648712739348e+001
5.79093000000000000000e+005	0.00000000000000000000e+000	5.79092000000000000000e+005	4.60942000000000033015e-005	0.00000000000000000000e+000	2.25055000000000013927e+001	0.00000000000000000000e+000	1.26640000648330897093e+001
5.79095000000000000000e+005	0.00000000000000000000e+000	5.79094000000000000000e+005	4.60337999999999996107e-005	0.00000000000000000000e+000	2.26263000000000005230e+001	0.00000000000000000000e+000	1.29160000648116692901e+001
5.79097000000000000000e+005	0.00000000000000000000e+000	5.79096000000000000000e+005	4.60337999999999996107e-005	0.00000000000000000000e+000	2.25658999999999991815e+001	0.00000000000000000000e+000	1.31750000648899003863e+001
5.79099000000000000000e+005	0.00000000000000000000e+000	5.79098000000000000000e+005	4.60942000000000033015e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	1.34350000648992136121e+001
5.79101000000000000000e+005	0.00000000000000000000e+000	5.79100000000000000000e+005	4.60236999999999977931e-005	0.00000000000000000000e+000	2.25768999999999984141e+001	0.00000000000000000000e+000	1.36960000648396089673e+001
5.79103000000000000000e+005	0.00000000000000000000e+000	5.79102000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	1.39590000648749992251e+001
5.79105000000000000000e+005	0.00000000000000000000e+000	5.79104000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.24944999999999986073e+001	0.00000000000000000000e+000	1.42100000648060813546e+001
5.79108000000000000000e+005	0.00000000000000000000e+000	5.79106000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	1.44700000648153945804e+001
5.79109000000000000000e+005	0.00000000000000000000e+000	5.79108000000000000000e+005	4.59934999999999993359e-005	0.00000000000000000000e+000	2.26043999999999982720e+001	0.00000000000000000000e+000	1.47280000648461282253e+001
5.79111000000000000000e+005	0.00000000000000000000e+000	5.79110000000000000000e+005	4.60739999999999996663e-005	0.00000000000000000000e+000	2.25879000000000011994e+001	0.00000000000000000000e+000	1.49850000648293644190e+001
5.79113000000000000000e+005	0.00000000000000000000e+000	5.79112000000000000000e+005	4.61142999999999999411e-005	0.00000000000000000000e+000	2.25330000000000012506e+001	0.00000000000000000000e+000	1.52440000649075955153e+001
5.79115000000000000000e+005	0.00000000000000000000e+000	5.79114000000000000000e+005	4.60841000000000014839e-005	0.00000000000000000000e+000	2.26043999999999982720e+001	0.00000000000000000000e+000	1.55030000648694112897e+001
5.79118000000000000000e+005	0.00000000000000000000e+000	5.79116000000000000000e+005	4.61244000000000017587e-005	0.00000000000000000000e+000	2.25768999999999984141e+001	0.00000000000000000000e+000	1.57570000648265704513e+001
5.79119000000000000000e+005	0.00000000000000000000e+000	5.79118000000000000000e+005	4.60639999999999980680e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	1.60190000648144632578e+001
5.79121000000000000000e+005	0.00000000000000000000e+000	5.79120000000000000000e+005	4.60739999999999996663e-005	0.00000000000000000000e+000	2.25165000000000006253e+001	0.00000000000000000000e+000	1.62770000648451969028e+001
5.79123000000000000000e+005	0.00000000000000000000e+000	5.79122000000000000000e+005	4.60942000000000033015e-005	0.00000000000000000000e+000	2.25439000000000007162e+001	0.00000000000000000000e+000	1.65360000648070126772e+001
