Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
5.80202000000000000000e+005	0.00000000000000000000e+000	5.80200000000000000000e+005	1.21022999999999993076e-005	0.00000000000000000000e+000	2.06981999999999999318e+001	0.00000000000000000000e+000	7.51999948523007333279e-001
5.80204000000000000000e+005	0.00000000000000000000e+000	5.80202000000000000000e+005	1.21012000000000002838e-005	0.00000000000000000000e+000	2.02532999999999994145e+001	0.00000000000000000000e+000	1.00799994845874607563e+000
5.80205000000000000000e+005	0.00000000000000000000e+000	5.80204000000000000000e+005	1.21446000000000005797e-005	0.00000000000000000000e+000	2.04894999999999996021e+001	0.00000000000000000000e+000	1.27099994849413633347e+000
5.80207000000000000000e+005	0.00000000000000000000e+000	5.80206000000000000000e+005	1.20509000000000001047e-005	0.00000000000000000000e+000	2.04126000000000011880e+001	0.00000000000000000000e+000	1.54199994844384491444e+000
5.80208000000000000000e+005	0.00000000000000000000e+000	5.80208000000000000000e+005	1.20870999999999998597e-005	0.00000000000000000000e+000	2.05225000000000008527e+001	0.00000000000000000000e+000	1.80399994854815304279e+000
5.80211000000000000000e+005	0.00000000000000000000e+000	5.80210000000000000000e+005	1.22663999999999999896e-005	0.00000000000000000000e+000	2.04619999999999997442e+001	0.00000000000000000000e+000	2.06499994848854839802e+000
5.80213000000000000000e+005	0.00000000000000000000e+000	5.80212000000000000000e+005	1.21244000000000003327e-005	0.00000000000000000000e+000	2.03905999999999991701e+001	0.00000000000000000000e+000	2.31699994846712797880e+000
5.80214000000000000000e+005	0.00000000000000000000e+000	5.80214000000000000000e+005	1.22593999999999998872e-005	0.00000000000000000000e+000	2.01269999999999988916e+001	0.00000000000000000000e+000	2.57799994852393865585e+000
5.80217000000000000000e+005	0.00000000000000000000e+000	5.80216000000000000000e+005	1.22372000000000003369e-005	0.00000000000000000000e+000	2.05718999999999994088e+001	0.00000000000000000000e+000	2.83799994853325188160e+000
5.80219000000000000000e+005	0.00000000000000000000e+000	5.80218000000000000000e+005	1.25987000000000001792e-005	0.00000000000000000000e+000	2.03631999999999990791e+001	0.00000000000000000000e+000	3.09699994849506765604e+000
5.80221000000000000000e+005	0.00000000000000000000e+000	5.80220000000000000000e+005	1.23287999999999995954e-005	0.00000000000000000000e+000	2.03412000000000006139e+001	0.00000000000000000000e+000	3.36399994848761707544e+000
