Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
5.80095000000000000000e+005	0.00000000000000000000e+000	5.80094000000000000000e+005	1.32493000000000003537e-005	0.00000000000000000000e+000	1.77649000000000008015e+001	0.00000000000000000000e+000	1.29599999218480661511e+001
5.80097000000000000000e+005	0.00000000000000000000e+000	5.80096000000000000000e+005	1.33420000000000003301e-005	0.00000000000000000000e+000	1.76604999999999989768e+001	0.00000000000000000000e+000	1.32159999217838048935e+001
5.80098000000000000000e+005	0.00000000000000000000e+000	5.80098000000000000000e+005	1.34768999999999996653e-005	0.00000000000000000000e+000	1.75890999999999984027e+001	0.00000000000000000000e+000	1.34849999217549338937e+001
5.80101000000000000000e+005	0.00000000000000000000e+000	5.80100000000000000000e+005	1.33792000000000005838e-005	0.00000000000000000000e+000	1.68475000000000001421e+001	0.00000000000000000000e+000	1.37459999218117445707e+001
5.80104000000000000000e+005	0.00000000000000000000e+000	5.80102000000000000000e+005	1.34970999999999999124e-005	0.00000000000000000000e+000	1.67706000000000017280e+001	0.00000000000000000000e+000	1.39999999217689037323e+001
5.80105000000000000000e+005	0.00000000000000000000e+000	5.80104000000000000000e+005	1.36420999999999993711e-005	0.00000000000000000000e+000	1.66553000000000004377e+001	0.00000000000000000000e+000	1.42609999218257144094e+001
5.80108000000000000000e+005	0.00000000000000000000e+000	5.80106000000000000000e+005	1.36299999999999999444e-005	0.00000000000000000000e+000	1.65398999999999993804e+001	0.00000000000000000000e+000	1.45209999218350276351e+001
5.80110000000000000000e+005	0.00000000000000000000e+000	5.80108000000000000000e+005	1.35938000000000001893e-005	0.00000000000000000000e+000	1.61388999999999995794e+001	0.00000000000000000000e+000	1.47729999218136072159e+001
5.80111000000000000000e+005	0.00000000000000000000e+000	5.80110000000000000000e+005	1.36531999999999999933e-005	0.00000000000000000000e+000	1.58038000000000007361e+001	0.00000000000000000000e+000	1.50349999218015000224e+001
5.80112000000000000000e+005	0.00000000000000000000e+000	5.80112000000000000000e+005	1.37246999999999992240e-005	0.00000000000000000000e+000	1.53864000000000000767e+001	0.00000000000000000000e+000	1.52859999218489974737e+001
5.80115000000000000000e+005	0.00000000000000000000e+000	5.80114000000000000000e+005	1.37548999999999993753e-005	0.00000000000000000000e+000	1.52161000000000008470e+001	0.00000000000000000000e+000	1.55389999217586591840e+001
5.80116000000000000000e+005	0.00000000000000000000e+000	5.80116000000000000000e+005	1.38475999999999993518e-005	0.00000000000000000000e+000	1.48369999999999997442e+001	0.00000000000000000000e+000	1.57999999218154698610e+001
5.80120000000000000000e+005	0.00000000000000000000e+000	5.80118000000000000000e+005	1.38918999999999999271e-005	0.00000000000000000000e+000	1.45238999999999993662e+001	0.00000000000000000000e+000	1.60639999217819422483e+001
5.80121000000000000000e+005	0.00000000000000000000e+000	5.80120000000000000000e+005	1.38918999999999999271e-005	0.00000000000000000000e+000	1.40404999999999997584e+001	0.00000000000000000000e+000	1.63159999217605218291e+001
5.80123000000000000000e+005	0.00000000000000000000e+000	5.80122000000000000000e+005	1.39724000000000002575e-005	0.00000000000000000000e+000	1.39361999999999994770e+001	0.00000000000000000000e+000	1.65749999218387529254e+001
5.80124000000000000000e+005	0.00000000000000000000e+000	5.80124000000000000000e+005	1.40298000000000007583e-005	0.00000000000000000000e+000	1.36560000000000005826e+001	0.00000000000000000000e+000	1.68379999217577278614e+001
5.80127000000000000000e+005	0.00000000000000000000e+000	5.80126000000000000000e+005	1.40298000000000007583e-005	0.00000000000000000000e+000	1.26508000000000002672e+001	0.00000000000000000000e+000	1.70969999218359589577e+001
5.80129000000000000000e+005	0.00000000000000000000e+000	5.80128000000000000000e+005	1.40771999999999996607e-005	0.00000000000000000000e+000	1.23596000000000003638e+001	0.00000000000000000000e+000	1.73589999218238517642e+001
5.80131000000000000000e+005	0.00000000000000000000e+000	5.80130000000000000000e+005	1.40792000000000006580e-005	0.00000000000000000000e+000	1.19970999999999996533e+001	0.00000000000000000000e+000	1.76149999217595905066e+001
5.80134000000000000000e+005	0.00000000000000000000e+000	5.80132000000000000000e+005	1.41154000000000004131e-005	0.00000000000000000000e+000	1.09753000000000007219e+001	0.00000000000000000000e+000	1.78769999217474833131e+001
5.80134000000000000000e+005	0.00000000000000000000e+000	5.80134000000000000000e+005	1.41264999999999993412e-005	0.00000000000000000000e+000	1.04918999999999993378e+001	0.00000000000000000000e+000	1.81399999217828735709e+001
5.80137000000000000000e+005	0.00000000000000000000e+000	5.80136000000000000000e+005	1.42392999999999993454e-005	0.00000000000000000000e+000	9.84923999999999999488e+000	0.00000000000000000000e+000	1.84049999217968434095e+001
5.80139000000000000000e+005	0.00000000000000000000e+000	5.80138000000000000000e+005	1.41576999999999999911e-005	0.00000000000000000000e+000	9.29443000000000019156e+000	0.00000000000000000000e+000	1.86639999217586591840e+001
5.80142000000000000000e+005	0.00000000000000000000e+000	5.80140000000000000000e+005	1.41446000000000000657e-005	0.00000000000000000000e+000	8.78905999999999920647e+000	0.00000000000000000000e+000	1.89179999218322336674e+001
5.80142000000000000000e+005	0.00000000000000000000e+000	5.80142000000000000000e+005	1.41506999999999998887e-005	0.00000000000000000000e+000	7.21251999999999959812e+000	0.00000000000000000000e+000	1.91799999218201264739e+001
5.80146000000000000000e+005	0.00000000000000000000e+000	5.80144000000000000000e+005	1.41063999999999993134e-005	0.00000000000000000000e+000	6.91040000000000009805e+000	0.00000000000000000000e+000	1.94379999218508601189e+001
5.80147000000000000000e+005	0.00000000000000000000e+000	5.80146000000000000000e+005	1.40408999999999996864e-005	0.00000000000000000000e+000	6.34459999999999979536e+000	0.00000000000000000000e+000	1.96919999218080192804e+001
5.80149000000000000000e+005	0.00000000000000000000e+000	5.80148000000000000000e+005	1.40177999999999998567e-005	0.00000000000000000000e+000	5.48766999999999960380e+000	0.00000000000000000000e+000	1.99549999218434095383e+001
5.80151000000000000000e+005	0.00000000000000000000e+000	5.80150000000000000000e+005	1.39441999999999994094e-005	0.00000000000000000000e+000	5.28992000000000039961e+000	0.00000000000000000000e+000	2.02199999217409640551e+001
5.80154000000000000000e+005	0.00000000000000000000e+000	5.80152000000000000000e+005	1.38465000000000003279e-005	0.00000000000000000000e+000	4.26269999999999971152e+000	0.00000000000000000000e+000	2.04779999217716977000e+001
5.80154000000000000000e+005	0.00000000000000000000e+000	5.80154000000000000000e+005	1.37810999999999992261e-005	0.00000000000000000000e+000	3.16406000000000009464e+000	0.00000000000000000000e+000	2.07429999217856675386e+001
5.80157000000000000000e+005	0.00000000000000000000e+000	5.80156000000000000000e+005	1.35735999999999999423e-005	0.00000000000000000000e+000	2.64771000000000000796e+000	0.00000000000000000000e+000	2.09969999217428267002e+001
5.80160000000000000000e+005	0.00000000000000000000e+000	5.80158000000000000000e+005	1.35414000000000004877e-005	0.00000000000000000000e+000	1.46117999999999992333e+000	0.00000000000000000000e+000	2.12609999218257144094e+001
5.80161000000000000000e+005	0.00000000000000000000e+000	5.80160000000000000000e+005	1.33913000000000000106e-005	0.00000000000000000000e+000	1.03821000000000007724e+000	0.00000000000000000000e+000	2.15209999218350276351e+001
5.80163000000000000000e+005	0.00000000000000000000e+000	5.80162000000000000000e+005	1.31658000000000002214e-005	0.00000000000000000000e+000	1.42822000000000004505e-001	0.00000000000000000000e+000	2.17779999218182638288e+001
5.80164000000000000000e+005	0.00000000000000000000e+000	5.80164000000000000000e+005	1.29783999999999992712e-005	0.00000000000000000000e+000	-9.33837999999999945899e-001	0.00000000000000000000e+000	2.20349999218015000224e+001
5.80168000000000000000e+005	0.00000000000000000000e+000	5.80166000000000000000e+005	1.27960999999999993395e-005	0.00000000000000000000e+000	-8.62427000000000054669e-001	0.00000000000000000000e+000	2.22879999218275770545e+001
5.80169000000000000000e+005	0.00000000000000000000e+000	5.80168000000000000000e+005	1.25705999999999995504e-005	0.00000000000000000000e+000	-1.63146999999999997577e+000	0.00000000000000000000e+000	2.25559999217512086034e+001
5.80171000000000000000e+005	0.00000000000000000000e+000	5.80170000000000000000e+005	1.23409000000000007162e-005	0.00000000000000000000e+000	-2.29064999999999985292e+000	0.00000000000000000000e+000	2.28209999217651784420e+001
5.80173000000000000000e+005	0.00000000000000000000e+000	5.80172000000000000000e+005	1.21596999999999998084e-005	0.00000000000000000000e+000	-2.48290999999999995040e+000	0.00000000000000000000e+000	2.30719999218126758933e+001
5.80174000000000000000e+005	0.00000000000000000000e+000	5.80174000000000000000e+005	1.19381000000000001005e-005	0.00000000000000000000e+000	-2.87292000000000014026e+000	0.00000000000000000000e+000	2.33359999217791482806e+001
5.80178000000000000000e+005	0.00000000000000000000e+000	5.80176000000000000000e+005	1.16924000000000000642e-005	0.00000000000000000000e+000	-3.08166999999999990933e+000	0.00000000000000000000e+000	2.35949999217409640551e+001
5.80179000000000000000e+005	0.00000000000000000000e+000	5.80178000000000000000e+005	1.14193999999999994593e-005	0.00000000000000000000e+000	-3.26293999999999995154e+000	0.00000000000000000000e+000	2.38479999217670410872e+001
