Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
5.80101000000000000000e+005	0.00000000000000000000e+000	5.80100000000000000000e+005	1.19049000000000001473e-005	0.00000000000000000000e+000	2.11101999999999989654e+001	0.00000000000000000000e+000	7.44000099133700132370e-001
5.80103000000000000000e+005	0.00000000000000000000e+000	5.80102000000000000000e+005	1.18937999999999995251e-005	0.00000000000000000000e+000	2.11212000000000017508e+001	0.00000000000000000000e+000	1.00100009923335164785e+000
5.80105000000000000000e+005	0.00000000000000000000e+000	5.80104000000000000000e+005	1.20146000000000001303e-005	0.00000000000000000000e+000	2.07805999999999997385e+001	0.00000000000000000000e+000	1.25500009919051080942e+000
5.80107000000000000000e+005	0.00000000000000000000e+000	5.80106000000000000000e+005	1.19290000000000004756e-005	0.00000000000000000000e+000	2.09235000000000006537e+001	0.00000000000000000000e+000	1.50700009916909039021e+000
5.80108000000000000000e+005	0.00000000000000000000e+000	5.80108000000000000000e+005	1.20076000000000000280e-005	0.00000000000000000000e+000	2.12036000000000015575e+001	0.00000000000000000000e+000	1.77100009913556277752e+000
5.80111000000000000000e+005	0.00000000000000000000e+000	5.80110000000000000000e+005	1.19613000000000001494e-005	0.00000000000000000000e+000	2.11541999999999994486e+001	0.00000000000000000000e+000	2.03200009919237345457e+000
5.80113000000000000000e+005	0.00000000000000000000e+000	5.80112000000000000000e+005	1.20277000000000000557e-005	0.00000000000000000000e+000	2.10827999999999988745e+001	0.00000000000000000000e+000	2.29500009922776371241e+000
5.80115000000000000000e+005	0.00000000000000000000e+000	5.80114000000000000000e+005	1.20870999999999998597e-005	0.00000000000000000000e+000	2.08301000000000016144e+001	0.00000000000000000000e+000	2.55700009921565651894e+000
5.80117000000000000000e+005	0.00000000000000000000e+000	5.80116000000000000000e+005	1.20287000000000005544e-005	0.00000000000000000000e+000	2.12421000000000006480e+001	0.00000000000000000000e+000	2.81900009920354932547e+000
5.80120000000000000000e+005	0.00000000000000000000e+000	5.80118000000000000000e+005	1.20449000000000005009e-005	0.00000000000000000000e+000	2.10113999999999983004e+001	0.00000000000000000000e+000	3.07300009916070848703e+000
