TimeAll	TimeExperiment	R	Theta
5.890900e+001	8.200002e-002	6.684704e-005	-6.062606e+001
5.905200e+001	2.249999e-001	6.689816e-005	-6.071854e+001
5.916100e+001	3.340001e-001	6.677177e-005	-6.076964e+001
5.927000e+001	4.430001e-001	6.690536e-005	-6.088007e+001
5.936400e+001	5.369999e-001	6.680645e-005	-6.102823e+001
5.947300e+001	6.459999e-001	6.677200e-005	-6.086777e+001
5.956700e+001	7.400000e-001	6.687188e-005	-6.096967e+001
5.966000e+001	8.329999e-001	6.685642e-005	-6.105123e+001
5.977000e+001	9.430001e-001	6.677931e-005	-6.108258e+001
5.987900e+001	1.052000e+000	6.676936e-005	-6.107084e+001
5.998800e+001	1.161000e+000	6.678055e-005	-6.123201e+001
6.009700e+001	1.270000e+000	6.673340e-005	-6.122778e+001
6.019100e+001	1.364000e+000	6.668492e-005	-6.133606e+001
6.028400e+001	1.457000e+000	6.670273e-005	-6.131590e+001
6.037800e+001	1.551000e+000	6.656696e-005	-6.132656e+001
6.048700e+001	1.660000e+000	6.654824e-005	-6.145403e+001
6.058100e+001	1.754000e+000	6.647388e-005	-6.145966e+001
6.067400e+001	1.847000e+000	6.658426e-005	-6.150557e+001
6.078400e+001	1.957000e+000	6.652470e-005	-6.157975e+001
6.089300e+001	2.066000e+000	6.650832e-005	-6.162749e+001
6.100200e+001	2.175000e+000	6.644987e-005	-6.165305e+001
6.109600e+001	2.269000e+000	6.620042e-005	-6.163658e+001
6.120500e+001	2.378000e+000	6.634113e-005	-6.178242e+001
6.131400e+001	2.487000e+000	6.619489e-005	-6.180203e+001
6.142300e+001	2.596000e+000	6.620990e-005	-6.188387e+001
6.153200e+001	2.705000e+000	6.604420e-005	-6.192833e+001
6.162600e+001	2.799000e+000	6.601283e-005	-6.202910e+001
6.172000e+001	2.893000e+000	6.599636e-005	-6.194498e+001
6.182900e+001	3.002000e+000	6.593764e-005	-6.208313e+001
6.192200e+001	3.095000e+000	6.597595e-005	-6.211298e+001
6.203200e+001	3.205000e+000	6.578799e-005	-6.210007e+001
6.214100e+001	3.314000e+000	6.575474e-005	-6.221500e+001
6.225000e+001	3.423000e+000	6.585827e-005	-6.217765e+001
6.234400e+001	3.517000e+000	6.552712e-005	-6.230702e+001
6.245300e+001	3.626000e+000	6.553381e-005	-6.227617e+001
6.256200e+001	3.735000e+000	6.546015e-005	-6.241739e+001
6.267100e+001	3.844000e+000	6.537782e-005	-6.237976e+001
6.278000e+001	3.953000e+000	6.531267e-005	-6.235366e+001
6.287400e+001	4.047000e+000	6.526872e-005	-6.254660e+001
6.298300e+001	4.156000e+000	6.522039e-005	-6.257461e+001
6.307700e+001	4.250000e+000	6.511548e-005	-6.256914e+001
6.318600e+001	4.359000e+000	6.496533e-005	-6.250583e+001
6.328000e+001	4.453000e+000	6.491716e-005	-6.260245e+001
6.338900e+001	4.562000e+000	6.485576e-005	-6.260913e+001
6.348200e+001	4.655000e+000	6.473359e-005	-6.253187e+001
6.357600e+001	4.749000e+000	6.457727e-005	-6.262660e+001
6.368500e+001	4.858000e+000	6.456139e-005	-6.265370e+001
6.377900e+001	4.952000e+000	6.455524e-005	-6.266397e+001
6.387200e+001	5.045000e+000	6.433034e-005	-6.266609e+001
6.398200e+001	5.155000e+000	6.436645e-005	-6.262215e+001
6.409100e+001	5.264000e+000	6.424032e-005	-6.271194e+001
6.418400e+001	5.357000e+000	6.412627e-005	-6.262510e+001
6.429400e+001	5.467000e+000	6.407218e-005	-6.260839e+001
6.440300e+001	5.576000e+000	6.396313e-005	-6.265861e+001
6.449600e+001	5.669000e+000	6.375274e-005	-6.274821e+001
6.460600e+001	5.779000e+000	6.375034e-005	-6.263975e+001
6.469900e+001	5.872000e+000	6.371830e-005	-6.278312e+001
6.479300e+001	5.966000e+000	6.351365e-005	-6.266369e+001
6.490200e+001	6.075000e+000	6.356125e-005	-6.268581e+001
6.499600e+001	6.169000e+000	6.337994e-005	-6.262148e+001
6.508900e+001	6.262000e+000	6.326061e-005	-6.260925e+001
6.519800e+001	6.371000e+000	6.313276e-005	-6.258928e+001
6.529200e+001	6.465000e+000	6.302934e-005	-6.263062e+001
6.540100e+001	6.574000e+000	6.311418e-005	-6.255701e+001
6.549500e+001	6.668000e+000	6.301874e-005	-6.244565e+001
6.560400e+001	6.777000e+000	6.292282e-005	-6.246449e+001
6.569800e+001	6.871000e+000	6.279559e-005	-6.246111e+001
6.579100e+001	6.964000e+000	6.278005e-005	-6.237637e+001
6.588500e+001	7.058000e+000	6.272624e-005	-6.242079e+001
6.594900e+001	7.122000e+000	6.268374e-005	-6.235693e+001
