TimeAll	TimeExperiment	R	Theta
3.100540e+002	7.900000e-002	6.623355e-005	-6.099043e+001
3.101470e+002	1.719999e-001	6.622433e-005	-6.091733e+001
3.102740e+002	2.990000e-001	6.623925e-005	-6.097421e+001
3.103840e+002	4.089999e-001	6.626575e-005	-6.092377e+001
3.104930e+002	5.179999e-001	6.632918e-005	-6.094862e+001
3.106020e+002	6.270001e-001	6.620591e-005	-6.094638e+001
3.106960e+002	7.210000e-001	6.626426e-005	-6.100162e+001
3.108050e+002	8.299999e-001	6.626563e-005	-6.091550e+001
3.109140e+002	9.389999e-001	6.626558e-005	-6.104860e+001
3.110080e+002	1.033000e+000	6.622331e-005	-6.096987e+001
3.111170e+002	1.142000e+000	6.631110e-005	-6.100389e+001
3.112100e+002	1.235000e+000	6.631781e-005	-6.104183e+001
3.113200e+002	1.345000e+000	6.619440e-005	-6.101427e+001
3.114130e+002	1.438000e+000	6.631132e-005	-6.101420e+001
3.115220e+002	1.547000e+000	6.619599e-005	-6.106630e+001
3.116160e+002	1.641000e+000	6.634172e-005	-6.108204e+001
3.117100e+002	1.735000e+000	6.623230e-005	-6.104833e+001
3.118030e+002	1.828000e+000	6.617910e-005	-6.101487e+001
3.119120e+002	1.937000e+000	6.616434e-005	-6.109726e+001
3.120060e+002	2.031000e+000	6.620619e-005	-6.103696e+001
3.121150e+002	2.140000e+000	6.625483e-005	-6.102421e+001
3.122090e+002	2.234000e+000	6.614563e-005	-6.107516e+001
3.123020e+002	2.327000e+000	6.624501e-005	-6.108440e+001
3.123960e+002	2.421000e+000	6.615501e-005	-6.104723e+001
3.125050e+002	2.530000e+000	6.615101e-005	-6.113205e+001
3.126140e+002	2.639000e+000	6.624252e-005	-6.107214e+001
3.127080e+002	2.733000e+000	6.613693e-005	-6.098986e+001
3.128170e+002	2.842000e+000	6.614430e-005	-6.114111e+001
3.129260e+002	2.951000e+000	6.616998e-005	-6.101435e+001
3.130200e+002	3.045000e+000	6.612071e-005	-6.111467e+001
3.131290e+002	3.154000e+000	6.620622e-005	-6.107038e+001
3.132230e+002	3.248000e+000	6.616094e-005	-6.108739e+001
3.133320e+002	3.357000e+000	6.624847e-005	-6.108155e+001
3.134260e+002	3.451000e+000	6.603035e-005	-6.116270e+001
3.135190e+002	3.544000e+000	6.618883e-005	-6.106478e+001
3.136130e+002	3.638000e+000	6.626767e-005	-6.109944e+001
3.137060e+002	3.731000e+000	6.622537e-005	-6.104591e+001
3.138160e+002	3.841000e+000	6.609916e-005	-6.105701e+001
3.139090e+002	3.934000e+000	6.609043e-005	-6.111938e+001
3.140030e+002	4.028000e+000	6.619185e-005	-6.107679e+001
3.141120e+002	4.137000e+000	6.613963e-005	-6.112643e+001
3.142060e+002	4.231000e+000	6.618340e-005	-6.102032e+001
3.142990e+002	4.324000e+000	6.617253e-005	-6.098330e+001
3.143930e+002	4.418000e+000	6.616597e-005	-6.112645e+001
3.144860e+002	4.511000e+000	6.614781e-005	-6.106624e+001
3.145800e+002	4.605000e+000	6.616880e-005	-6.106866e+001
3.146740e+002	4.699000e+000	6.612630e-005	-6.109008e+001
3.147670e+002	4.792000e+000	6.615880e-005	-6.112408e+001
3.148760e+002	4.901000e+000	6.625385e-005	-6.112614e+001
3.149700e+002	4.995000e+000	6.620085e-005	-6.110510e+001
3.150640e+002	5.089000e+000	6.605175e-005	-6.108276e+001
3.151570e+002	5.182000e+000	6.626647e-005	-6.108372e+001
3.152510e+002	5.276000e+000	6.614041e-005	-6.112877e+001
3.153440e+002	5.369000e+000	6.620792e-005	-6.111443e+001
3.154380e+002	5.463000e+000	6.622286e-005	-6.112148e+001
3.155320e+002	5.557000e+000	6.615702e-005	-6.117308e+001
3.156410e+002	5.666000e+000	6.611247e-005	-6.110136e+001
3.157500e+002	5.775000e+000	6.614259e-005	-6.122113e+001
3.158590e+002	5.884000e+000	6.608101e-005	-6.102439e+001
3.159680e+002	5.993000e+000	6.620425e-005	-6.117558e+001
3.160620e+002	6.087000e+000	6.612818e-005	-6.116768e+001
3.161560e+002	6.181000e+000	6.619396e-005	-6.110498e+001
3.162490e+002	6.274000e+000	6.617250e-005	-6.117082e+001
3.163430e+002	6.368000e+000	6.624981e-005	-6.118529e+001
3.164520e+002	6.477000e+000	6.607311e-005	-6.113657e+001
3.165610e+002	6.586000e+000	6.616785e-005	-6.114964e+001
3.166700e+002	6.695000e+000	6.619726e-005	-6.115641e+001
3.167800e+002	6.805000e+000	6.606998e-005	-6.118003e+001
3.168730e+002	6.898000e+000	6.613242e-005	-6.123796e+001
3.169820e+002	7.007000e+000	6.603015e-005	-6.118975e+001
3.170760e+002	7.101000e+000	6.613506e-005	-6.113430e+001
3.171700e+002	7.195000e+000	6.617638e-005	-6.127256e+001
3.172630e+002	7.288000e+000	6.614292e-005	-6.110048e+001
3.173720e+002	7.397000e+000	6.614777e-005	-6.119457e+001
3.174820e+002	7.507000e+000	6.608621e-005	-6.122525e+001
3.175910e+002	7.616000e+000	6.611984e-005	-6.120107e+001
3.176840e+002	7.709000e+000	6.601665e-005	-6.112910e+001
3.177940e+002	7.819000e+000	6.598995e-005	-6.129404e+001
3.178870e+002	7.912000e+000	6.605461e-005	-6.117360e+001
3.179960e+002	8.021000e+000	6.611789e-005	-6.116880e+001
3.180900e+002	8.115000e+000	6.609344e-005	-6.122897e+001
3.181990e+002	8.224000e+000	6.611671e-005	-6.123460e+001
3.183080e+002	8.333000e+000	6.614575e-005	-6.119266e+001
3.184020e+002	8.427000e+000	6.607280e-005	-6.111768e+001
3.185110e+002	8.536000e+000	6.607986e-005	-6.132873e+001
3.186200e+002	8.645000e+000	6.608075e-005	-6.123065e+001
3.187140e+002	8.739000e+000	6.608626e-005	-6.115972e+001
3.188080e+002	8.833000e+000	6.611040e-005	-6.121782e+001
3.189010e+002	8.926000e+000	6.610071e-005	-6.126255e+001
3.190100e+002	9.035000e+000	6.612426e-005	-6.130109e+001
3.191200e+002	9.145000e+000	6.606042e-005	-6.120584e+001
3.192130e+002	9.238000e+000	6.610446e-005	-6.125662e+001
3.193070e+002	9.332000e+000	6.600751e-005	-6.111940e+001
3.194000e+002	9.425000e+000	6.603222e-005	-6.122929e+001
3.195100e+002	9.535000e+000	6.605574e-005	-6.124831e+001
3.196190e+002	9.644000e+000	6.613827e-005	-6.114323e+001
3.197280e+002	9.753000e+000	6.603714e-005	-6.122406e+001
3.198220e+002	9.847000e+000	6.599045e-005	-6.134717e+001
3.199310e+002	9.956000e+000	6.610134e-005	-6.125019e+001
3.200400e+002	1.006500e+001	6.603215e-005	-6.118502e+001
3.201490e+002	1.017400e+001	6.603694e-005	-6.129716e+001
3.202590e+002	1.028400e+001	6.610500e-005	-6.126801e+001
3.203680e+002	1.039300e+001	6.596863e-005	-6.126014e+001
3.204610e+002	1.048600e+001	6.609431e-005	-6.129691e+001
3.205550e+002	1.058000e+001	6.609319e-005	-6.123811e+001
3.206490e+002	1.067400e+001	6.607291e-005	-6.129044e+001
3.207420e+002	1.076700e+001	6.604166e-005	-6.121435e+001
3.208360e+002	1.086100e+001	6.602929e-005	-6.134875e+001
3.209290e+002	1.095400e+001	6.597397e-005	-6.116328e+001
3.210390e+002	1.106400e+001	6.609636e-005	-6.123240e+001
3.211480e+002	1.117300e+001	6.606083e-005	-6.131054e+001
3.212410e+002	1.126600e+001	6.606569e-005	-6.127541e+001
3.213510e+002	1.137600e+001	6.608310e-005	-6.131707e+001
3.214600e+002	1.148500e+001	6.598660e-005	-6.129986e+001
3.215530e+002	1.157800e+001	6.603858e-005	-6.123319e+001
3.216470e+002	1.167200e+001	6.593324e-005	-6.133395e+001
3.217560e+002	1.178100e+001	6.602049e-005	-6.132563e+001
3.218500e+002	1.187500e+001	6.610714e-005	-6.134822e+001
3.219430e+002	1.196800e+001	6.609004e-005	-6.133025e+001
3.220530e+002	1.207800e+001	6.579859e-005	-6.152329e+001
3.221620e+002	1.218700e+001	6.596054e-005	-6.151043e+001
3.222710e+002	1.229600e+001	6.578328e-005	-6.147116e+001
3.223650e+002	1.239000e+001	6.574064e-005	-6.137185e+001
3.224740e+002	1.249900e+001	6.581658e-005	-6.156607e+001
3.225830e+002	1.260800e+001	6.584365e-005	-6.147454e+001
3.226920e+002	1.271700e+001	6.577382e-005	-6.153323e+001
3.227860e+002	1.281100e+001	6.578079e-005	-6.142537e+001
3.228950e+002	1.292000e+001	6.568041e-005	-6.155898e+001
3.230040e+002	1.302900e+001	6.585800e-005	-6.142437e+001
3.231130e+002	1.313800e+001	6.579500e-005	-6.152230e+001
3.232230e+002	1.324800e+001	6.589449e-005	-6.147336e+001
3.233320e+002	1.335700e+001	6.585430e-005	-6.154123e+001
3.234250e+002	1.345000e+001	6.580098e-005	-6.150562e+001
3.235190e+002	1.354400e+001	6.572582e-005	-6.156895e+001
3.236130e+002	1.363800e+001	6.567237e-005	-6.157992e+001
3.237060e+002	1.373100e+001	6.585788e-005	-6.156800e+001
3.238150e+002	1.384000e+001	6.575413e-005	-6.150078e+001
3.239250e+002	1.395000e+001	6.575193e-005	-6.159542e+001
3.240340e+002	1.405900e+001	6.578698e-005	-6.147644e+001
3.241430e+002	1.416800e+001	6.574572e-005	-6.155479e+001
3.242520e+002	1.427700e+001	6.585920e-005	-6.158653e+001
3.243460e+002	1.437100e+001	6.569768e-005	-6.151409e+001
3.244390e+002	1.446400e+001	6.565023e-005	-6.151028e+001
3.245330e+002	1.455800e+001	6.575884e-005	-6.156306e+001
3.246270e+002	1.465200e+001	6.583547e-005	-6.154926e+001
3.247200e+002	1.474500e+001	6.569151e-005	-6.163149e+001
3.248140e+002	1.483900e+001	6.567714e-005	-6.156469e+001
3.249070e+002	1.493200e+001	6.564747e-005	-6.158167e+001
3.250010e+002	1.502600e+001	6.572861e-005	-6.159558e+001
3.250950e+002	1.512000e+001	6.574782e-005	-6.151084e+001
3.252040e+002	1.522900e+001	6.573996e-005	-6.159322e+001
3.252970e+002	1.532200e+001	6.567209e-005	-6.159457e+001
3.254070e+002	1.543200e+001	6.580595e-005	-6.159230e+001
3.255160e+002	1.554100e+001	6.576553e-005	-6.160427e+001
3.256090e+002	1.563400e+001	6.563345e-005	-6.157133e+001
3.257190e+002	1.574400e+001	6.575632e-005	-6.154220e+001
3.258280e+002	1.585300e+001	6.571900e-005	-6.153123e+001
3.259370e+002	1.596200e+001	6.570350e-005	-6.163652e+001
3.260310e+002	1.605600e+001	6.580073e-005	-6.153537e+001
3.261240e+002	1.614900e+001	6.562981e-005	-6.157773e+001
3.262180e+002	1.624300e+001	6.561297e-005	-6.167199e+001
3.263110e+002	1.633600e+001	6.573810e-005	-6.162600e+001
3.264210e+002	1.644600e+001	6.568003e-005	-6.152645e+001
3.265300e+002	1.655500e+001	6.559118e-005	-6.166621e+001
3.266390e+002	1.666400e+001	6.576298e-005	-6.165630e+001
3.267480e+002	1.677300e+001	6.574544e-005	-6.156511e+001
3.268570e+002	1.688200e+001	6.560744e-005	-6.153735e+001
3.269670e+002	1.699200e+001	6.574319e-005	-6.168106e+001
3.270600e+002	1.708500e+001	6.560620e-005	-6.160565e+001
3.271690e+002	1.719400e+001	6.572880e-005	-6.152697e+001
3.272630e+002	1.728800e+001	6.571846e-005	-6.161512e+001
3.273720e+002	1.739700e+001	6.572481e-005	-6.164029e+001
3.274660e+002	1.749100e+001	6.581675e-005	-6.154733e+001
3.275590e+002	1.758400e+001	6.560840e-005	-6.156509e+001
3.276690e+002	1.769400e+001	6.558941e-005	-6.158067e+001
3.277780e+002	1.780300e+001	6.569834e-005	-6.168813e+001
3.278870e+002	1.791200e+001	6.563385e-005	-6.180095e+001
3.279960e+002	1.802100e+001	6.567495e-005	-6.174413e+001
3.281050e+002	1.813000e+001	6.563386e-005	-6.165831e+001
3.281990e+002	1.822400e+001	6.562153e-005	-6.174094e+001
3.283080e+002	1.833300e+001	6.559123e-005	-6.169494e+001
3.284170e+002	1.844200e+001	6.558402e-005	-6.176717e+001
3.285270e+002	1.855200e+001	6.559837e-005	-6.169444e+001
3.286360e+002	1.866100e+001	6.563034e-005	-6.170931e+001
3.287290e+002	1.875400e+001	6.561874e-005	-6.171189e+001
3.288230e+002	1.884800e+001	6.559386e-005	-6.168757e+001
3.289320e+002	1.895700e+001	6.557226e-005	-6.158383e+001
3.290260e+002	1.905100e+001	6.561793e-005	-6.168738e+001
3.291190e+002	1.914400e+001	6.563602e-005	-6.175215e+001
3.292290e+002	1.925400e+001	6.559712e-005	-6.171074e+001
3.293380e+002	1.936300e+001	6.566394e-005	-6.168956e+001
3.294470e+002	1.947200e+001	6.561564e-005	-6.169284e+001
3.295560e+002	1.958100e+001	6.563836e-005	-6.164693e+001
3.296650e+002	1.969000e+001	6.558566e-005	-6.171821e+001
3.297750e+002	1.980000e+001	6.552468e-005	-6.174866e+001
3.298680e+002	1.989300e+001	6.550372e-005	-6.172506e+001
3.299770e+002	2.000200e+001	6.558871e-005	-6.176058e+001
3.300870e+002	2.011200e+001	6.553131e-005	-6.172673e+001
3.301960e+002	2.022100e+001	6.561468e-005	-6.169151e+001
3.303050e+002	2.033000e+001	6.559240e-005	-6.174973e+001
3.304140e+002	2.043900e+001	6.558374e-005	-6.175338e+001
3.305230e+002	2.054800e+001	6.549185e-005	-6.183186e+001
3.306330e+002	2.065800e+001	6.555900e-005	-6.173832e+001
3.307420e+002	2.076700e+001	6.559610e-005	-6.171654e+001
3.308350e+002	2.086000e+001	6.558107e-005	-6.180429e+001
3.309290e+002	2.095400e+001	6.551477e-005	-6.177476e+001
3.310230e+002	2.104800e+001	6.548616e-005	-6.174514e+001
3.311320e+002	2.115700e+001	6.540670e-005	-6.171901e+001
3.312250e+002	2.125000e+001	6.550682e-005	-6.183977e+001
3.313350e+002	2.136000e+001	6.554634e-005	-6.175152e+001
3.314280e+002	2.145300e+001	6.553320e-005	-6.176618e+001
3.315220e+002	2.154700e+001	6.543093e-005	-6.176818e+001
3.316150e+002	2.164000e+001	6.537559e-005	-6.181835e+001
3.317250e+002	2.175000e+001	6.544845e-005	-6.163757e+001
3.318180e+002	2.184300e+001	6.546529e-005	-6.167565e+001
3.319120e+002	2.193700e+001	6.553549e-005	-6.177990e+001
3.320210e+002	2.204600e+001	6.551599e-005	-6.171283e+001
3.321150e+002	2.214000e+001	6.547547e-005	-6.184697e+001
3.322080e+002	2.223300e+001	6.558097e-005	-6.178175e+001
3.323170e+002	2.234200e+001	6.551770e-005	-6.175459e+001
3.324270e+002	2.245200e+001	6.551084e-005	-6.177179e+001
3.325360e+002	2.256100e+001	6.534135e-005	-6.174302e+001
3.326450e+002	2.267000e+001	6.547475e-005	-6.180182e+001
3.327540e+002	2.277900e+001	6.537512e-005	-6.182188e+001
3.328630e+002	2.288800e+001	6.538293e-005	-6.168953e+001
3.329570e+002	2.298200e+001	6.543504e-005	-6.179783e+001
3.330660e+002	2.309100e+001	6.544901e-005	-6.179231e+001
3.331600e+002	2.318500e+001	6.543875e-005	-6.177096e+001
3.332530e+002	2.327800e+001	6.544354e-005	-6.180969e+001
3.333470e+002	2.337200e+001	6.544440e-005	-6.180642e+001
3.334560e+002	2.348100e+001	6.533997e-005	-6.171043e+001
3.335650e+002	2.359000e+001	6.555609e-005	-6.182369e+001
3.336750e+002	2.370000e+001	6.542866e-005	-6.182655e+001
3.337840e+002	2.380900e+001	6.544118e-005	-6.191379e+001
3.338770e+002	2.390200e+001	6.541526e-005	-6.180202e+001
3.339710e+002	2.399600e+001	6.540435e-005	-6.184314e+001
3.340650e+002	2.409000e+001	6.536578e-005	-6.182944e+001
3.341580e+002	2.418300e+001	6.532624e-005	-6.184032e+001
3.342520e+002	2.427700e+001	6.549857e-005	-6.189044e+001
3.343610e+002	2.438600e+001	6.537438e-005	-6.187119e+001
3.344700e+002	2.449500e+001	6.542722e-005	-6.186304e+001
3.345790e+002	2.460400e+001	6.551853e-005	-6.180257e+001
3.346730e+002	2.469800e+001	6.544136e-005	-6.187149e+001
3.347670e+002	2.479200e+001	6.540700e-005	-6.186730e+001
3.348600e+002	2.488500e+001	6.532290e-005	-6.184875e+001
3.349540e+002	2.497900e+001	6.544321e-005	-6.184908e+001
3.350630e+002	2.508800e+001	6.535739e-005	-6.189283e+001
3.351720e+002	2.519700e+001	6.544496e-005	-6.187147e+001
3.352810e+002	2.530600e+001	6.542297e-005	-6.184037e+001
3.353910e+002	2.541600e+001	6.537281e-005	-6.188769e+001
3.355000e+002	2.552500e+001	6.527406e-005	-6.188829e+001
