TimeAll	TimeExperiment	R	Theta
1.676850e+002	8.200002e-002	6.662410e-005	-6.054431e+001
1.678120e+002	2.089999e-001	6.656132e-005	-6.052577e+001
1.679060e+002	3.030000e-001	6.668439e-005	-6.054906e+001
1.680150e+002	4.119999e-001	6.669107e-005	-6.061401e+001
1.681240e+002	5.209999e-001	6.672611e-005	-6.051617e+001
1.682340e+002	6.310000e-001	6.669539e-005	-6.062825e+001
1.683270e+002	7.240000e-001	6.664917e-005	-6.065816e+001
1.684210e+002	8.180001e-001	6.661960e-005	-6.066619e+001
1.685140e+002	9.110000e-001	6.665850e-005	-6.066999e+001
1.686080e+002	1.005000e+000	6.659259e-005	-6.062891e+001
1.687020e+002	1.099000e+000	6.666171e-005	-6.079474e+001
1.688110e+002	1.208000e+000	6.660862e-005	-6.069916e+001
1.689200e+002	1.317000e+000	6.659322e-005	-6.068880e+001
1.690140e+002	1.411000e+000	6.658363e-005	-6.060932e+001
1.691230e+002	1.520000e+000	6.665377e-005	-6.074689e+001
1.692160e+002	1.613000e+000	6.663468e-005	-6.070877e+001
1.693100e+002	1.707000e+000	6.662348e-005	-6.075935e+001
1.694040e+002	1.801000e+000	6.663150e-005	-6.071935e+001
1.694970e+002	1.894000e+000	6.664835e-005	-6.082389e+001
1.696060e+002	2.003000e+000	6.655718e-005	-6.072937e+001
1.697000e+002	2.097000e+000	6.662017e-005	-6.076608e+001
1.698090e+002	2.206000e+000	6.647000e-005	-6.084143e+001
1.699180e+002	2.315000e+000	6.644943e-005	-6.086401e+001
1.700120e+002	2.409000e+000	6.654470e-005	-6.080596e+001
1.701210e+002	2.518000e+000	6.648032e-005	-6.087745e+001
1.702150e+002	2.612000e+000	6.647097e-005	-6.094869e+001
1.703080e+002	2.705000e+000	6.656138e-005	-6.088784e+001
1.704180e+002	2.815000e+000	6.654600e-005	-6.082061e+001
1.705110e+002	2.908000e+000	6.650586e-005	-6.089670e+001
1.706050e+002	3.002000e+000	6.650273e-005	-6.093292e+001
1.707140e+002	3.111000e+000	6.656646e-005	-6.090605e+001
1.708080e+002	3.205000e+000	6.653969e-005	-6.101279e+001
1.709170e+002	3.314000e+000	6.656208e-005	-6.086399e+001
1.710100e+002	3.407000e+000	6.656678e-005	-6.106015e+001
1.711200e+002	3.517000e+000	6.660462e-005	-6.101657e+001
1.712290e+002	3.626000e+000	6.640545e-005	-6.105236e+001
1.713220e+002	3.719000e+000	6.647732e-005	-6.098853e+001
1.714320e+002	3.829000e+000	6.639109e-005	-6.103378e+001
