TimeAll	TimeExperiment	R	Theta
1.170960e+002	8.200002e-002	6.678310e-005	-6.057197e+001
1.172240e+002	2.100000e-001	6.687753e-005	-6.046463e+001
1.173180e+002	3.039999e-001	6.686949e-005	-6.049463e+001
1.174270e+002	4.129999e-001	6.680848e-005	-6.049360e+001
1.175200e+002	5.060000e-001	6.685613e-005	-6.047051e+001
1.176140e+002	5.999999e-001	6.676498e-005	-6.059282e+001
1.177080e+002	6.940000e-001	6.683148e-005	-6.058837e+001
1.178170e+002	8.030000e-001	6.676573e-005	-6.056683e+001
1.179100e+002	8.959999e-001	6.676974e-005	-6.057626e+001
1.180200e+002	1.006000e+000	6.683567e-005	-6.068360e+001
1.181130e+002	1.099000e+000	6.678310e-005	-6.066299e+001
1.182220e+002	1.208000e+000	6.671663e-005	-6.070182e+001
1.183160e+002	1.302000e+000	6.679606e-005	-6.064782e+001
1.184250e+002	1.411000e+000	6.676585e-005	-6.071964e+001
1.185190e+002	1.505000e+000	6.672854e-005	-6.075565e+001
1.186120e+002	1.598000e+000	6.673997e-005	-6.069312e+001
1.187220e+002	1.708000e+000	6.681014e-005	-6.079617e+001
1.188150e+002	1.801000e+000	6.677666e-005	-6.088216e+001
1.189240e+002	1.910000e+000	6.669224e-005	-6.085119e+001
1.190340e+002	2.020000e+000	6.672469e-005	-6.083274e+001
1.191430e+002	2.129000e+000	6.668152e-005	-6.087753e+001
1.192360e+002	2.222000e+000	6.675810e-005	-6.094880e+001
1.193460e+002	2.332000e+000	6.660940e-005	-6.100034e+001
1.194550e+002	2.441000e+000	6.658868e-005	-6.100164e+001
1.195480e+002	2.534000e+000	6.663087e-005	-6.103212e+001
1.196420e+002	2.628000e+000	6.665511e-005	-6.104062e+001
1.197510e+002	2.737000e+000	6.668055e-005	-6.105903e+001
1.198450e+002	2.831000e+000	6.662251e-005	-6.106607e+001
1.199380e+002	2.924000e+000	6.657870e-005	-6.109256e+001
1.200320e+002	3.018000e+000	6.665671e-005	-6.115128e+001
1.201260e+002	3.112000e+000	6.659563e-005	-6.118667e+001
1.202190e+002	3.205000e+000	6.657640e-005	-6.114802e+001
1.203280e+002	3.314000e+000	6.656252e-005	-6.134149e+001
1.204380e+002	3.424000e+000	6.650839e-005	-6.126358e+001
1.205470e+002	3.533000e+000	6.656247e-005	-6.134851e+001
1.206560e+002	3.642000e+000	6.658276e-005	-6.121908e+001
1.207500e+002	3.736000e+000	6.654125e-005	-6.132111e+001
1.208590e+002	3.845000e+000	6.642117e-005	-6.132970e+001
1.209530e+002	3.939000e+000	6.647467e-005	-6.145036e+001
1.210460e+002	4.032000e+000	6.641076e-005	-6.130465e+001
1.211550e+002	4.141000e+000	6.638699e-005	-6.143219e+001
1.212650e+002	4.251000e+000	6.645853e-005	-6.139490e+001
1.213740e+002	4.360000e+000	6.633866e-005	-6.148521e+001
1.214830e+002	4.469000e+000	6.629746e-005	-6.162181e+001
1.215920e+002	4.578000e+000	6.635251e-005	-6.146457e+001
1.216860e+002	4.672000e+000	6.638553e-005	-6.156530e+001
1.217950e+002	4.781000e+000	6.633313e-005	-6.160307e+001
1.219040e+002	4.890000e+000	6.632767e-005	-6.159000e+001
1.219980e+002	4.984000e+000	6.630355e-005	-6.154415e+001
1.221070e+002	5.093000e+000	6.618365e-005	-6.158668e+001
1.222160e+002	5.202000e+000	6.613351e-005	-6.175899e+001
1.223250e+002	5.311000e+000	6.605869e-005	-6.173051e+001
1.224350e+002	5.421000e+000	6.609024e-005	-6.178885e+001
1.225440e+002	5.530000e+000	6.613612e-005	-6.172756e+001
1.226370e+002	5.623000e+000	6.603815e-005	-6.175457e+001
1.227310e+002	5.717000e+000	6.604307e-005	-6.174434e+001
1.228400e+002	5.826000e+000	6.600926e-005	-6.174800e+001
1.229340e+002	5.920000e+000	6.603608e-005	-6.187074e+001
1.230270e+002	6.013000e+000	6.597598e-005	-6.179132e+001
1.231210e+002	6.107000e+000	6.598516e-005	-6.190361e+001
1.232150e+002	6.201000e+000	6.590384e-005	-6.189899e+001
1.233240e+002	6.310000e+000	6.591254e-005	-6.191279e+001
1.234330e+002	6.419000e+000	6.579739e-005	-6.194739e+001
1.235270e+002	6.513000e+000	6.584416e-005	-6.195676e+001
1.236200e+002	6.606000e+000	6.573160e-005	-6.206012e+001
1.237290e+002	6.715000e+000	6.584555e-005	-6.204254e+001
1.238390e+002	6.825000e+000	6.564064e-005	-6.197585e+001
1.239480e+002	6.934000e+000	6.568174e-005	-6.199217e+001
1.240570e+002	7.043000e+000	6.565503e-005	-6.206272e+001
1.241660e+002	7.152000e+000	6.576677e-005	-6.204070e+001
1.242600e+002	7.246000e+000	6.559164e-005	-6.198753e+001
1.243530e+002	7.339000e+000	6.553021e-005	-6.205596e+001
1.244470e+002	7.433000e+000	6.547492e-005	-6.202627e+001
1.245560e+002	7.542000e+000	6.550579e-005	-6.218170e+001
1.246500e+002	7.636000e+000	6.548153e-005	-6.212484e+001
1.247430e+002	7.729000e+000	6.545268e-005	-6.220581e+001
1.248530e+002	7.839000e+000	6.535683e-005	-6.214708e+001
1.249460e+002	7.932000e+000	6.536749e-005	-6.215731e+001
1.250550e+002	8.041000e+000	6.527764e-005	-6.221820e+001
1.251490e+002	8.135000e+000	6.532168e-005	-6.232093e+001
1.252430e+002	8.229000e+000	6.531904e-005	-6.222667e+001
1.253520e+002	8.338000e+000	6.522505e-005	-6.228922e+001
1.254450e+002	8.431000e+000	6.503475e-005	-6.222974e+001
1.255390e+002	8.525000e+000	6.523961e-005	-6.238456e+001
1.256480e+002	8.634000e+000	6.502251e-005	-6.230577e+001
1.257570e+002	8.743000e+000	6.498158e-005	-6.223898e+001
1.258670e+002	8.853000e+000	6.503600e-005	-6.233334e+001
1.259760e+002	8.962000e+000	6.487926e-005	-6.231394e+001
1.260850e+002	9.071000e+000	6.480901e-005	-6.244320e+001
1.261940e+002	9.180000e+000	6.466033e-005	-6.241812e+001
1.263030e+002	9.289000e+000	6.476584e-005	-6.245007e+001
1.263970e+002	9.383000e+000	6.463812e-005	-6.246292e+001
1.264910e+002	9.477000e+000	6.474641e-005	-6.239623e+001
1.266000e+002	9.586000e+000	6.468496e-005	-6.233081e+001
1.267090e+002	9.695000e+000	6.461818e-005	-6.232878e+001
1.268180e+002	9.804000e+000	6.462956e-005	-6.249397e+001
1.269270e+002	9.913000e+000	6.451886e-005	-6.245480e+001
1.270370e+002	1.002300e+001	6.456601e-005	-6.240958e+001
1.271300e+002	1.011600e+001	6.440451e-005	-6.248143e+001
1.272240e+002	1.021000e+001	6.436073e-005	-6.246012e+001
1.273330e+002	1.031900e+001	6.439546e-005	-6.248829e+001
1.274420e+002	1.042800e+001	6.430222e-005	-6.240265e+001
1.275510e+002	1.053700e+001	6.425655e-005	-6.252516e+001
1.276610e+002	1.064700e+001	6.424668e-005	-6.244597e+001
1.277700e+002	1.075600e+001	6.414713e-005	-6.246162e+001
1.278790e+002	1.086500e+001	6.410477e-005	-6.245760e+001
1.279730e+002	1.095900e+001	6.409302e-005	-6.253091e+001
1.280660e+002	1.105200e+001	6.409270e-005	-6.240044e+001
1.281600e+002	1.114600e+001	6.399904e-005	-6.244915e+001
1.282530e+002	1.123900e+001	6.400151e-005	-6.255556e+001
1.283470e+002	1.133300e+001	6.387824e-005	-6.248817e+001
1.284560e+002	1.144200e+001	6.400679e-005	-6.255784e+001
1.285500e+002	1.153600e+001	6.387027e-005	-6.251255e+001
1.286590e+002	1.164500e+001	6.395734e-005	-6.258013e+001
1.287680e+002	1.175400e+001	6.375543e-005	-6.237708e+001
1.288620e+002	1.184800e+001	6.373775e-005	-6.240983e+001
1.289550e+002	1.194100e+001	6.364969e-005	-6.248903e+001
1.290490e+002	1.203500e+001	6.369930e-005	-6.237350e+001
1.291430e+002	1.212900e+001	6.355567e-005	-6.253051e+001
1.292520e+002	1.223800e+001	6.360212e-005	-6.240183e+001
1.293610e+002	1.234700e+001	6.357231e-005	-6.239813e+001
1.294700e+002	1.245600e+001	6.355872e-005	-6.245657e+001
1.295640e+002	1.255000e+001	6.340952e-005	-6.240523e+001
1.296570e+002	1.264300e+001	6.354696e-005	-6.246874e+001
1.297510e+002	1.273700e+001	6.342783e-005	-6.231969e+001
1.298450e+002	1.283100e+001	6.349532e-005	-6.242660e+001
1.299380e+002	1.292400e+001	6.343924e-005	-6.234847e+001
1.300320e+002	1.301800e+001	6.324472e-005	-6.236020e+001
1.301250e+002	1.311100e+001	6.326439e-005	-6.234409e+001
1.302350e+002	1.322100e+001	6.318923e-005	-6.238790e+001
1.303280e+002	1.331400e+001	6.332379e-005	-6.229194e+001
1.304370e+002	1.342300e+001	6.327092e-005	-6.233657e+001
1.305470e+002	1.353300e+001	6.312047e-005	-6.234601e+001
1.306400e+002	1.362600e+001	6.308208e-005	-6.234325e+001
1.307490e+002	1.373500e+001	6.309805e-005	-6.228580e+001
1.308430e+002	1.382900e+001	6.295385e-005	-6.229082e+001
1.309520e+002	1.393800e+001	6.299805e-005	-6.223717e+001
1.310610e+002	1.404700e+001	6.302220e-005	-6.226612e+001
1.311290e+002	1.411500e+001	6.298241e-005	-6.222103e+001
