TimeAll	TimeExperiment	R	Theta
1.912600e+002	7.900000e-002	6.655998e-005	-6.063308e+001
1.913880e+002	2.070000e-001	6.647617e-005	-6.063198e+001
1.914810e+002	3.000000e-001	6.669667e-005	-6.071320e+001
1.915750e+002	3.939998e-001	6.658665e-005	-6.069856e+001
1.916690e+002	4.879999e-001	6.662966e-005	-6.074424e+001
1.917780e+002	5.969999e-001	6.646563e-005	-6.074424e+001
1.918710e+002	6.899998e-001	6.656472e-005	-6.072599e+001
1.919810e+002	8.000000e-001	6.661471e-005	-6.061688e+001
1.920900e+002	9.089999e-001	6.654434e-005	-6.067228e+001
1.921830e+002	1.002000e+000	6.653041e-005	-6.087894e+001
1.922930e+002	1.112000e+000	6.643604e-005	-6.073849e+001
1.923860e+002	1.205000e+000	6.658168e-005	-6.080779e+001
1.924950e+002	1.314000e+000	6.644228e-005	-6.072335e+001
1.926050e+002	1.424000e+000	6.655256e-005	-6.076551e+001
1.926980e+002	1.517000e+000	6.648657e-005	-6.082866e+001
1.927920e+002	1.611000e+000	6.648052e-005	-6.075776e+001
1.929010e+002	1.720000e+000	6.650420e-005	-6.083791e+001
1.930100e+002	1.829000e+000	6.649154e-005	-6.088063e+001
1.931190e+002	1.938000e+000	6.648974e-005	-6.071005e+001
1.932290e+002	2.048000e+000	6.640150e-005	-6.096531e+001
1.933220e+002	2.141000e+000	6.643009e-005	-6.085501e+001
1.934310e+002	2.250000e+000	6.647999e-005	-6.087239e+001
1.935250e+002	2.344000e+000	6.642369e-005	-6.081099e+001
1.936190e+002	2.438000e+000	6.635738e-005	-6.092793e+001
1.937120e+002	2.531000e+000	6.640251e-005	-6.089845e+001
1.938210e+002	2.640000e+000	6.629305e-005	-6.092305e+001
1.939310e+002	2.750000e+000	6.648227e-005	-6.091038e+001
1.940240e+002	2.843000e+000	6.652405e-005	-6.092506e+001
1.941180e+002	2.937000e+000	6.638946e-005	-6.092484e+001
1.942110e+002	3.030000e+000	6.649220e-005	-6.101503e+001
1.943050e+002	3.124000e+000	6.629593e-005	-6.082980e+001
1.944140e+002	3.233000e+000	6.641349e-005	-6.090403e+001
1.945230e+002	3.342000e+000	6.642118e-005	-6.094650e+001
1.946330e+002	3.452000e+000	6.638293e-005	-6.090666e+001
1.947260e+002	3.545000e+000	6.649459e-005	-6.098057e+001
1.948200e+002	3.639000e+000	6.625937e-005	-6.093895e+001
1.949130e+002	3.732000e+000	6.637896e-005	-6.111829e+001
1.950230e+002	3.842000e+000	6.635433e-005	-6.100337e+001
1.951320e+002	3.951000e+000	6.632452e-005	-6.105581e+001
1.952410e+002	4.060000e+000	6.634255e-005	-6.100544e+001
1.953500e+002	4.169000e+000	6.637663e-005	-6.110275e+001
1.954590e+002	4.278000e+000	6.628672e-005	-6.102866e+001
1.955690e+002	4.388000e+000	6.632187e-005	-6.106388e+001
1.956780e+002	4.497000e+000	6.628376e-005	-6.115300e+001
1.957870e+002	4.606000e+000	6.630325e-005	-6.106564e+001
1.958960e+002	4.715000e+000	6.634685e-005	-6.104709e+001
1.960050e+002	4.824000e+000	6.632049e-005	-6.101269e+001
1.961150e+002	4.934000e+000	6.625964e-005	-6.109388e+001
1.962240e+002	5.043000e+000	6.627848e-005	-6.116748e+001
1.963330e+002	5.152000e+000	6.624371e-005	-6.115570e+001
1.964420e+002	5.261000e+000	6.625710e-005	-6.120430e+001
1.965360e+002	5.355000e+000	6.624485e-005	-6.114067e+001
1.966290e+002	5.448000e+000	6.617823e-005	-6.116803e+001
1.967390e+002	5.558000e+000	6.617943e-005	-6.125673e+001
1.968320e+002	5.651000e+000	6.617369e-005	-6.120531e+001
1.969410e+002	5.760000e+000	6.612715e-005	-6.119515e+001
1.970510e+002	5.870000e+000	6.615437e-005	-6.122632e+001
1.971600e+002	5.979000e+000	6.608956e-005	-6.129521e+001
1.972690e+002	6.088000e+000	6.613119e-005	-6.127694e+001
1.973780e+002	6.197000e+000	6.616810e-005	-6.128594e+001
1.974870e+002	6.306000e+000	6.629227e-005	-6.131884e+001
1.975810e+002	6.400000e+000	6.615919e-005	-6.119845e+001
1.976900e+002	6.509000e+000	6.615876e-005	-6.131911e+001
1.977990e+002	6.618000e+000	6.608462e-005	-6.133313e+001
1.979090e+002	6.728000e+000	6.609964e-005	-6.132895e+001
1.980180e+002	6.837000e+000	6.619501e-005	-6.138062e+001
1.981270e+002	6.946000e+000	6.617268e-005	-6.133913e+001
1.982360e+002	7.055000e+000	6.609482e-005	-6.133945e+001
1.983300e+002	7.149000e+000	6.602718e-005	-6.136563e+001
1.984230e+002	7.242000e+000	6.599456e-005	-6.140757e+001
1.985170e+002	7.336000e+000	6.602644e-005	-6.133989e+001
1.986110e+002	7.430000e+000	6.616610e-005	-6.152102e+001
1.987040e+002	7.523000e+000	6.608262e-005	-6.142629e+001
1.988130e+002	7.632000e+000	6.612358e-005	-6.134018e+001
1.989230e+002	7.742000e+000	6.608472e-005	-6.147191e+001
1.990320e+002	7.851000e+000	6.599686e-005	-6.144386e+001
1.991410e+002	7.960000e+000	6.591891e-005	-6.139492e+001
1.992500e+002	8.069000e+000	6.607747e-005	-6.140119e+001
1.993590e+002	8.178000e+000	6.598032e-005	-6.153006e+001
1.994530e+002	8.272000e+000	6.589490e-005	-6.148996e+001
1.995620e+002	8.381000e+000	6.594058e-005	-6.145622e+001
1.996710e+002	8.490000e+000	6.592581e-005	-6.142820e+001
1.997810e+002	8.600000e+000	6.592274e-005	-6.149564e+001
1.998900e+002	8.709000e+000	6.587376e-005	-6.150621e+001
1.999830e+002	8.802000e+000	6.589211e-005	-6.146963e+001
2.000930e+002	8.912000e+000	6.589400e-005	-6.157393e+001
2.002020e+002	9.021000e+000	6.584410e-005	-6.154096e+001
2.002950e+002	9.114000e+000	6.584269e-005	-6.154846e+001
2.004050e+002	9.224000e+000	6.589589e-005	-6.156033e+001
2.005140e+002	9.333000e+000	6.588487e-005	-6.161083e+001
2.006070e+002	9.426000e+000	6.581441e-005	-6.151696e+001
2.007010e+002	9.520000e+000	6.573848e-005	-6.156291e+001
