TimeAll	TimeExperiment	R	Theta
1.314770e+002	7.900000e-002	6.679703e-005	-6.049737e+001
1.316210e+002	2.229998e-001	6.685275e-005	-6.037597e+001
1.317140e+002	3.160000e-001	6.680982e-005	-6.051165e+001
1.318240e+002	4.259999e-001	6.682491e-005	-6.055049e+001
1.319170e+002	5.189998e-001	6.676144e-005	-6.053196e+001
1.320260e+002	6.279998e-001	6.683901e-005	-6.059071e+001
1.321360e+002	7.379999e-001	6.671422e-005	-6.047345e+001
1.322290e+002	8.309999e-001	6.680800e-005	-6.056218e+001
1.323380e+002	9.399998e-001	6.669149e-005	-6.057784e+001
1.324320e+002	1.034000e+000	6.671248e-005	-6.069171e+001
1.325410e+002	1.143000e+000	6.676857e-005	-6.060788e+001
1.326350e+002	1.237000e+000	6.671173e-005	-6.069695e+001
1.327440e+002	1.346000e+000	6.670548e-005	-6.068071e+001
1.328380e+002	1.440000e+000	6.670313e-005	-6.075560e+001
1.329310e+002	1.533000e+000	6.675445e-005	-6.073583e+001
1.330250e+002	1.627000e+000	6.681143e-005	-6.082565e+001
1.331340e+002	1.736000e+000	6.663662e-005	-6.071408e+001
1.332430e+002	1.845000e+000	6.666552e-005	-6.071653e+001
1.333520e+002	1.954000e+000	6.669429e-005	-6.078484e+001
1.334620e+002	2.064000e+000	6.663602e-005	-6.090633e+001
1.335550e+002	2.157000e+000	6.665489e-005	-6.088074e+001
1.336640e+002	2.266000e+000	6.665477e-005	-6.089186e+001
1.337740e+002	2.376000e+000	6.664747e-005	-6.084687e+001
1.338830e+002	2.485000e+000	6.668840e-005	-6.083843e+001
1.339770e+002	2.579000e+000	6.657914e-005	-6.094348e+001
1.340860e+002	2.688000e+000	6.652469e-005	-6.103123e+001
1.341790e+002	2.781000e+000	6.668922e-005	-6.103622e+001
1.342730e+002	2.875000e+000	6.662907e-005	-6.094228e+001
1.343820e+002	2.984000e+000	6.669993e-005	-6.101619e+001
1.344910e+002	3.093000e+000	6.657085e-005	-6.103907e+001
1.346010e+002	3.203000e+000	6.655274e-005	-6.095357e+001
1.347100e+002	3.312000e+000	6.647540e-005	-6.104213e+001
1.348030e+002	3.405000e+000	6.657210e-005	-6.106287e+001
1.348970e+002	3.499000e+000	6.654062e-005	-6.107391e+001
1.350060e+002	3.608000e+000	6.642713e-005	-6.103942e+001
1.351150e+002	3.717000e+000	6.662944e-005	-6.110537e+001
1.352090e+002	3.811000e+000	6.652452e-005	-6.104259e+001
1.353180e+002	3.920000e+000	6.642478e-005	-6.111263e+001
1.354120e+002	4.014000e+000	6.650484e-005	-6.118251e+001
1.355210e+002	4.123000e+000	6.634778e-005	-6.121980e+001
1.356150e+002	4.217000e+000	6.635180e-005	-6.121203e+001
1.357240e+002	4.326000e+000	6.642813e-005	-6.124594e+001
1.358330e+002	4.435000e+000	6.646658e-005	-6.121399e+001
1.359420e+002	4.544000e+000	6.645103e-005	-6.128883e+001
1.360510e+002	4.653000e+000	6.642810e-005	-6.132338e+001
1.361610e+002	4.763000e+000	6.639675e-005	-6.128300e+001
1.362700e+002	4.872000e+000	6.630200e-005	-6.135524e+001
1.363630e+002	4.965000e+000	6.645294e-005	-6.137842e+001
1.364570e+002	5.059000e+000	6.628642e-005	-6.136057e+001
1.365660e+002	5.168000e+000	6.629234e-005	-6.139773e+001
1.366600e+002	5.262000e+000	6.629687e-005	-6.141772e+001
1.367690e+002	5.371000e+000	6.620654e-005	-6.140819e+001
1.368780e+002	5.480000e+000	6.627454e-005	-6.143204e+001
1.369870e+002	5.589000e+000	6.631951e-005	-6.148655e+001
1.370970e+002	5.699000e+000	6.616687e-005	-6.150724e+001
1.372060e+002	5.808000e+000	6.613553e-005	-6.145337e+001
1.372990e+002	5.901000e+000	6.624756e-005	-6.158248e+001
1.374090e+002	6.011000e+000	6.621928e-005	-6.157249e+001
1.375180e+002	6.120000e+000	6.612316e-005	-6.152644e+001
1.376110e+002	6.213000e+000	6.612931e-005	-6.156322e+001
1.377050e+002	6.307000e+000	6.610520e-005	-6.159480e+001
1.377990e+002	6.401000e+000	6.615897e-005	-6.166192e+001
1.379080e+002	6.510000e+000	6.611173e-005	-6.167462e+001
1.380170e+002	6.619000e+000	6.596211e-005	-6.168634e+001
1.381110e+002	6.713000e+000	6.597110e-005	-6.167988e+001
1.382040e+002	6.806000e+000	6.588562e-005	-6.169910e+001
1.383130e+002	6.915000e+000	6.598041e-005	-6.175636e+001
1.384070e+002	7.009000e+000	6.599459e-005	-6.175685e+001
1.385160e+002	7.118000e+000	6.584962e-005	-6.181507e+001
1.386100e+002	7.212000e+000	6.590895e-005	-6.182164e+001
1.387030e+002	7.305000e+000	6.584364e-005	-6.176945e+001
1.387970e+002	7.399000e+000	6.593862e-005	-6.179245e+001
1.388910e+002	7.493000e+000	6.591929e-005	-6.186256e+001
1.389840e+002	7.586000e+000	6.589596e-005	-6.182281e+001
1.390780e+002	7.680000e+000	6.583627e-005	-6.177686e+001
1.391710e+002	7.773000e+000	6.581491e-005	-6.182208e+001
1.392650e+002	7.867000e+000	6.583420e-005	-6.196600e+001
1.393590e+002	7.961000e+000	6.576023e-005	-6.184764e+001
1.394520e+002	8.054000e+000	6.572807e-005	-6.187815e+001
1.395460e+002	8.148000e+000	6.568593e-005	-6.193266e+001
1.396390e+002	8.241000e+000	6.569050e-005	-6.187416e+001
1.397330e+002	8.335000e+000	6.570154e-005	-6.196640e+001
1.398270e+002	8.429000e+000	6.565521e-005	-6.205187e+001
1.399360e+002	8.538000e+000	6.551328e-005	-6.203348e+001
1.400450e+002	8.647000e+000	6.558768e-005	-6.201007e+001
1.401390e+002	8.741000e+000	6.552801e-005	-6.200679e+001
1.402320e+002	8.834000e+000	6.556424e-005	-6.199381e+001
1.403410e+002	8.943000e+000	6.547521e-005	-6.203761e+001
1.404350e+002	9.037000e+000	6.542627e-005	-6.214981e+001
1.405440e+002	9.146000e+000	6.535048e-005	-6.204641e+001
1.406530e+002	9.255000e+000	6.542089e-005	-6.205510e+001
1.407470e+002	9.349000e+000	6.529888e-005	-6.222045e+001
1.408560e+002	9.458000e+000	6.536287e-005	-6.204200e+001
1.409650e+002	9.567000e+000	6.532275e-005	-6.212133e+001
1.410750e+002	9.677000e+000	6.524572e-005	-6.217270e+001
1.411840e+002	9.786000e+000	6.520163e-005	-6.219342e+001
1.412930e+002	9.895000e+000	6.518938e-005	-6.216318e+001
1.413870e+002	9.989000e+000	6.523479e-005	-6.218477e+001
1.414960e+002	1.009800e+001	6.507418e-005	-6.218176e+001
1.415890e+002	1.019100e+001	6.515921e-005	-6.224365e+001
1.416990e+002	1.030100e+001	6.510378e-005	-6.215104e+001
1.417920e+002	1.039400e+001	6.508797e-005	-6.230252e+001
1.419010e+002	1.050300e+001	6.506503e-005	-6.225457e+001
1.420110e+002	1.061300e+001	6.495702e-005	-6.221051e+001
1.421040e+002	1.070600e+001	6.498946e-005	-6.227766e+001
1.421980e+002	1.080000e+001	6.492291e-005	-6.220808e+001
1.422910e+002	1.089300e+001	6.490057e-005	-6.227456e+001
1.424010e+002	1.100300e+001	6.477853e-005	-6.224407e+001
1.424940e+002	1.109600e+001	6.488960e-005	-6.230405e+001
1.425880e+002	1.119000e+001	6.475005e-005	-6.223045e+001
1.426970e+002	1.129900e+001	6.473322e-005	-6.221988e+001
1.428060e+002	1.140800e+001	6.468343e-005	-6.242090e+001
1.429000e+002	1.150200e+001	6.472811e-005	-6.234566e+001
1.430090e+002	1.161100e+001	6.472914e-005	-6.234823e+001
1.431030e+002	1.170500e+001	6.469102e-005	-6.230249e+001
1.432120e+002	1.181400e+001	6.465414e-005	-6.227677e+001
1.433210e+002	1.192300e+001	6.459901e-005	-6.233196e+001
1.434150e+002	1.201700e+001	6.451988e-005	-6.232436e+001
1.435080e+002	1.211000e+001	6.459053e-005	-6.237312e+001
1.436170e+002	1.221900e+001	6.443793e-005	-6.238041e+001
1.437270e+002	1.232900e+001	6.450105e-005	-6.233772e+001
1.438360e+002	1.243800e+001	6.441261e-005	-6.241896e+001
1.439290e+002	1.253100e+001	6.433687e-005	-6.243879e+001
1.440390e+002	1.264100e+001	6.439502e-005	-6.236566e+001
1.441480e+002	1.275000e+001	6.423717e-005	-6.231017e+001
1.442570e+002	1.285900e+001	6.422459e-005	-6.233219e+001
1.443510e+002	1.295300e+001	6.430074e-005	-6.231605e+001
1.444440e+002	1.304600e+001	6.409433e-005	-6.243148e+001
1.445530e+002	1.315500e+001	6.416204e-005	-6.237300e+001
1.446470e+002	1.324900e+001	6.419289e-005	-6.233589e+001
1.447410e+002	1.334300e+001	6.405183e-005	-6.238821e+001
1.448340e+002	1.343600e+001	6.408097e-005	-6.228947e+001
1.449280e+002	1.353000e+001	6.401225e-005	-6.232038e+001
1.450210e+002	1.362300e+001	6.405736e-005	-6.234834e+001
1.451310e+002	1.373300e+001	6.399722e-005	-6.239471e+001
1.452400e+002	1.384200e+001	6.390842e-005	-6.238251e+001
1.453330e+002	1.393500e+001	6.407039e-005	-6.238863e+001
1.454430e+002	1.404500e+001	6.387015e-005	-6.236163e+001
1.455360e+002	1.413800e+001	6.375167e-005	-6.240192e+001
1.456450e+002	1.424700e+001	6.382856e-005	-6.239232e+001
1.457390e+002	1.434100e+001	6.377021e-005	-6.231382e+001
1.458330e+002	1.443500e+001	6.367316e-005	-6.237029e+001
1.459420e+002	1.454400e+001	6.373319e-005	-6.240606e+001
1.460510e+002	1.465300e+001	6.371743e-005	-6.233178e+001
1.461600e+002	1.476200e+001	6.361484e-005	-6.239734e+001
1.462690e+002	1.487100e+001	6.367023e-005	-6.234852e+001
1.463630e+002	1.496500e+001	6.358930e-005	-6.234850e+001
1.464570e+002	1.505900e+001	6.351167e-005	-6.234967e+001
1.465660e+002	1.516800e+001	6.342719e-005	-6.226749e+001
1.466750e+002	1.527700e+001	6.357130e-005	-6.230299e+001
