Time1	2B
7.30000400217249989510e-002	1.88610000000000006537e+001
1.54000040027312934399e-001	1.88640000000000007674e+001
2.35000040032900869846e-001	1.88640000000000007674e+001
3.20000040112063288689e-001	1.88629999999999995453e+001
3.99000040022656321526e-001	1.88629999999999995453e+001
4.84000040101818740368e-001	1.88619999999999983231e+001
5.67000040085986256599e-001	1.88610000000000006537e+001
6.46000039996579289436e-001	1.88610000000000006537e+001
7.25000040023587644100e-001	1.88610000000000006537e+001
8.09000040055252611637e-001	1.88619999999999983231e+001
8.89000040013343095779e-001	1.88619999999999983231e+001
9.68000040040351450443e-001	1.88619999999999983231e+001
1.04900004004593938589e+000	1.88629999999999995453e+001
1.13000004005152732134e+000	1.88629999999999995453e+001
1.20900004007853567600e+000	1.88619999999999983231e+001
1.29000004008412361145e+000	1.88619999999999983231e+001
1.37000004004221409559e+000	1.88619999999999983231e+001
1.45000004000030457973e+000	1.88610000000000006537e+001
1.53300004010088741779e+000	1.88610000000000006537e+001
1.61200004001148045063e+000	1.88610000000000006537e+001
1.69100004003848880529e+000	1.88590000000000017621e+001
1.80300004000309854746e+000	1.88619999999999983231e+001
1.89700004004407674074e+000	1.88619999999999983231e+001
1.99000004003755748272e+000	1.88629999999999995453e+001
2.08400004007853567600e+000	1.88610000000000006537e+001
2.17800004000309854746e+000	1.88599999999999994316e+001
2.27100003999657928944e+000	1.88640000000000007674e+001
2.36500004003755748272e+000	1.88640000000000007674e+001
2.45800004003103822470e+000	1.88599999999999994316e+001
2.55200004007201641798e+000	1.88619999999999983231e+001
2.64600003999657928944e+000	1.88619999999999983231e+001
2.73900004010647535324e+000	1.88619999999999983231e+001
2.83300004003103822470e+000	1.88619999999999983231e+001
2.92600004002451896667e+000	1.88610000000000006537e+001
4.37700004002545028925e+000	1.88599999999999994316e+001
4.47100004006642848253e+000	1.88580000000000005400e+001
4.56400004005990922451e+000	1.88619999999999983231e+001
4.65800004010088741779e+000	1.88619999999999983231e+001
4.75200004002545028925e+000	1.88590000000000017621e+001
4.84500004001893103123e+000	1.88590000000000017621e+001
4.93900004005990922451e+000	1.88590000000000017621e+001
5.03200004005338996649e+000	1.88599999999999994316e+001
5.12600004009436815977e+000	1.88599999999999994316e+001
5.18200004007667303085e+000	1.88599999999999994316e+001
5.26100004010368138552e+000	1.88590000000000017621e+001
5.34100004006177186966e+000	1.88590000000000017621e+001
5.42100004001986235380e+000	1.88590000000000017621e+001
5.50000004004687070847e+000	1.88610000000000006537e+001
5.58100004005245864391e+000	1.88610000000000006537e+001
5.66000004007946699858e+000	1.88590000000000017621e+001
5.74000004003755748272e+000	1.88590000000000017621e+001
5.82000004011206328869e+000	1.88590000000000017621e+001
5.89900004002265632153e+000	1.88580000000000005400e+001
5.98200004000682383776e+000	1.88599999999999994316e+001
6.06100004003383219242e+000	1.88599999999999994316e+001
6.14100004010833799839e+000	1.88619999999999983231e+001
6.22200003999751061201e+000	1.88560000000000016485e+001
6.33600004005711525679e+000	1.88560000000000016485e+001
6.43000004009809345007e+000	1.88599999999999994316e+001
6.52300004009157419205e+000	1.88590000000000017621e+001
6.61700004001613706350e+000	1.88590000000000017621e+001
6.71000004000961780548e+000	1.88580000000000005400e+001
6.80400004005059599876e+000	1.88580000000000005400e+001
6.89800004009157419205e+000	1.88560000000000016485e+001
