TimeAll	TimeExperiment	R	Theta
6.630600e+001	8.200002e-002	6.687448e-005	-6.063062e+001
6.640600e+001	1.819999e-001	6.690753e-005	-6.070523e+001
6.650100e+001	2.770000e-001	6.692612e-005	-6.064545e+001
6.659500e+001	3.709998e-001	6.693926e-005	-6.075202e+001
6.668900e+001	4.649999e-001	6.688195e-005	-6.076785e+001
6.678400e+001	5.599999e-001	6.683851e-005	-6.084337e+001
6.687800e+001	6.540000e-001	6.695421e-005	-6.074109e+001
6.697100e+001	7.470000e-001	6.688126e-005	-6.086224e+001
6.706100e+001	8.369999e-001	6.688959e-005	-6.091450e+001
6.715100e+001	9.269998e-001	6.682039e-005	-6.091118e+001
6.724600e+001	1.022000e+000	6.676382e-005	-6.100827e+001
6.734100e+001	1.117000e+000	6.687017e-005	-6.104256e+001
6.746800e+001	1.244000e+000	6.664993e-005	-6.111209e+001
6.753600e+001	1.312000e+000	6.672060e-005	-6.115128e+001
6.762800e+001	1.404000e+000	6.680942e-005	-6.112526e+001
6.772000e+001	1.496000e+000	6.668403e-005	-6.121489e+001
6.781300e+001	1.589000e+000	6.665690e-005	-6.123466e+001
6.790300e+001	1.679000e+000	6.663500e-005	-6.132256e+001
6.799400e+001	1.770000e+000	6.667393e-005	-6.131661e+001
6.808800e+001	1.864000e+000	6.659741e-005	-6.144769e+001
6.818300e+001	1.959000e+000	6.651926e-005	-6.137397e+001
6.831100e+001	2.087000e+000	6.651642e-005	-6.144661e+001
6.842000e+001	2.196000e+000	6.644706e-005	-6.157603e+001
6.848400e+001	2.260000e+000	6.646815e-005	-6.159123e+001
6.857800e+001	2.354000e+000	6.652484e-005	-6.158666e+001
6.867300e+001	2.449000e+000	6.640268e-005	-6.170103e+001
6.876600e+001	2.542000e+000	6.636597e-005	-6.169481e+001
6.885700e+001	2.633000e+000	6.635224e-005	-6.168116e+001
6.894700e+001	2.723000e+000	6.628006e-005	-6.182378e+001
6.904600e+001	2.822000e+000	6.624124e-005	-6.180375e+001
6.913800e+001	2.914000e+000	6.615369e-005	-6.184700e+001
6.922800e+001	3.004000e+000	6.614895e-005	-6.183288e+001
6.932100e+001	3.097000e+000	6.608207e-005	-6.193491e+001
6.941100e+001	3.187000e+000	6.609014e-005	-6.199396e+001
6.950400e+001	3.280000e+000	6.599087e-005	-6.204118e+001
6.959800e+001	3.374000e+000	6.594851e-005	-6.201278e+001
6.968900e+001	3.465000e+000	6.589692e-005	-6.203104e+001
6.981600e+001	3.592000e+000	6.579555e-005	-6.212206e+001
6.991000e+001	3.686000e+000	6.580574e-005	-6.218661e+001
7.001900e+001	3.795000e+000	6.581045e-005	-6.230092e+001
7.011300e+001	3.889000e+000	6.561467e-005	-6.224567e+001
7.020600e+001	3.982000e+000	6.558425e-005	-6.231187e+001
7.030000e+001	4.076000e+000	6.556181e-005	-6.230521e+001
7.039400e+001	4.170000e+000	6.539168e-005	-6.236809e+001
7.048700e+001	4.263000e+000	6.537318e-005	-6.246386e+001
7.059600e+001	4.372000e+000	6.528418e-005	-6.243922e+001
7.069000e+001	4.466000e+000	6.538519e-005	-6.237375e+001
7.078400e+001	4.560000e+000	6.512681e-005	-6.265599e+001
7.087700e+001	4.653000e+000	6.522486e-005	-6.250887e+001
7.098600e+001	4.762000e+000	6.506265e-005	-6.248431e+001
7.109600e+001	4.872000e+000	6.499743e-005	-6.249962e+001
7.118900e+001	4.965000e+000	6.486077e-005	-6.261169e+001
7.128300e+001	5.059000e+000	6.477590e-005	-6.257270e+001
7.137600e+001	5.152000e+000	6.473135e-005	-6.264165e+001
7.148600e+001	5.262000e+000	6.456209e-005	-6.264911e+001
7.159500e+001	5.371000e+000	6.463162e-005	-6.259627e+001
7.170400e+001	5.480000e+000	6.450074e-005	-6.269109e+001
7.179800e+001	5.574000e+000	6.441863e-005	-6.264287e+001
7.189100e+001	5.667000e+000	6.430263e-005	-6.274826e+001
7.198500e+001	5.761000e+000	6.420824e-005	-6.272223e+001
7.209400e+001	5.870000e+000	6.410167e-005	-6.265850e+001
7.218800e+001	5.964000e+000	6.399037e-005	-6.270325e+001
7.228100e+001	6.057000e+000	6.388123e-005	-6.270605e+001
7.237500e+001	6.151000e+000	6.397727e-005	-6.269242e+001
7.246800e+001	6.244000e+000	6.378912e-005	-6.270144e+001
7.257800e+001	6.354000e+000	6.362137e-005	-6.280445e+001
7.267100e+001	6.447000e+000	6.378088e-005	-6.271722e+001
7.276500e+001	6.541000e+000	6.366231e-005	-6.275426e+001
7.287400e+001	6.650000e+000	6.345624e-005	-6.257358e+001
7.296800e+001	6.744000e+000	6.340803e-005	-6.264063e+001
7.307700e+001	6.853000e+000	6.343125e-005	-6.262612e+001
7.318600e+001	6.962000e+000	6.332352e-005	-6.268757e+001
7.328000e+001	7.056000e+000	6.313265e-005	-6.252549e+001
7.337300e+001	7.149000e+000	6.312691e-005	-6.250390e+001
7.348200e+001	7.258000e+000	6.294477e-005	-6.243972e+001
7.357600e+001	7.352000e+000	6.306380e-005	-6.254543e+001
7.367000e+001	7.446000e+000	6.289480e-005	-6.248739e+001
7.376300e+001	7.539000e+000	6.291712e-005	-6.242993e+001
7.385700e+001	7.633000e+000	6.276259e-005	-6.245396e+001
7.392400e+001	7.700000e+000	6.263121e-005	-6.237523e+001
