TimeAll	TimeExperiment	R	Theta
1.035200e+002	7.900000e-002	6.684512e-005	-6.021552e+001
1.036100e+002	1.689999e-001	6.693348e-005	-6.026140e+001
1.037530e+002	3.120000e-001	6.690393e-005	-6.029635e+001
1.038620e+002	4.210000e-001	6.693858e-005	-6.037152e+001
1.039720e+002	5.309999e-001	6.682377e-005	-6.035062e+001
1.040810e+002	6.399999e-001	6.688593e-005	-6.040779e+001
1.041740e+002	7.329998e-001	6.703392e-005	-6.033189e+001
1.042840e+002	8.429999e-001	6.691142e-005	-6.051257e+001
1.043930e+002	9.519999e-001	6.706302e-005	-6.044619e+001
1.045020e+002	1.061000e+000	6.690441e-005	-6.044273e+001
1.045960e+002	1.155000e+000	6.691355e-005	-6.052494e+001
1.046890e+002	1.248000e+000	6.691232e-005	-6.051363e+001
1.047980e+002	1.357000e+000	6.693866e-005	-6.060583e+001
1.049080e+002	1.467000e+000	6.693089e-005	-6.067723e+001
1.050010e+002	1.560000e+000	6.679932e-005	-6.062697e+001
1.050950e+002	1.654000e+000	6.682803e-005	-6.064530e+001
1.051880e+002	1.747000e+000	6.686084e-005	-6.063661e+001
1.052980e+002	1.857000e+000	6.692742e-005	-6.071098e+001
1.053910e+002	1.950000e+000	6.690547e-005	-6.078442e+001
1.054850e+002	2.044000e+000	6.691418e-005	-6.078600e+001
1.055780e+002	2.137000e+000	6.676990e-005	-6.079454e+001
1.056720e+002	2.231000e+000	6.677489e-005	-6.080285e+001
1.057810e+002	2.340000e+000	6.681797e-005	-6.085680e+001
1.058900e+002	2.449000e+000	6.674644e-005	-6.097887e+001
1.060000e+002	2.559000e+000	6.676085e-005	-6.090913e+001
1.060930e+002	2.652000e+000	6.677624e-005	-6.092962e+001
1.062020e+002	2.761000e+000	6.673557e-005	-6.094713e+001
1.063120e+002	2.871000e+000	6.660962e-005	-6.104015e+001
1.064050e+002	2.964000e+000	6.675084e-005	-6.099685e+001
1.064990e+002	3.058000e+000	6.664670e-005	-6.111697e+001
1.066080e+002	3.167000e+000	6.669248e-005	-6.106549e+001
1.067170e+002	3.276000e+000	6.663581e-005	-6.111839e+001
1.068110e+002	3.370000e+000	6.662449e-005	-6.112744e+001
1.069200e+002	3.479000e+000	6.679261e-005	-6.123769e+001
1.070140e+002	3.573000e+000	6.666571e-005	-6.125793e+001
1.071230e+002	3.682000e+000	6.668871e-005	-6.121855e+001
1.072160e+002	3.775000e+000	6.654461e-005	-6.127890e+001
1.073100e+002	3.869000e+000	6.653148e-005	-6.128204e+001
1.074190e+002	3.978000e+000	6.655964e-005	-6.144877e+001
1.075280e+002	4.087000e+000	6.642346e-005	-6.129446e+001
1.076380e+002	4.197000e+000	6.654738e-005	-6.134392e+001
1.077470e+002	4.306000e+000	6.653008e-005	-6.138607e+001
1.078560e+002	4.415000e+000	6.651043e-005	-6.150798e+001
1.079500e+002	4.509000e+000	6.653431e-005	-6.148751e+001
1.080430e+002	4.602000e+000	6.638678e-005	-6.161170e+001
1.081370e+002	4.696000e+000	6.637035e-005	-6.153336e+001
1.082460e+002	4.805000e+000	6.636624e-005	-6.163112e+001
1.083550e+002	4.914000e+000	6.629927e-005	-6.162259e+001
1.084650e+002	5.024000e+000	6.630638e-005	-6.164899e+001
1.085580e+002	5.117000e+000	6.626594e-005	-6.175238e+001
1.086520e+002	5.211000e+000	6.621241e-005	-6.163890e+001
1.087450e+002	5.304000e+000	6.617820e-005	-6.171900e+001
1.088550e+002	5.414000e+000	6.618580e-005	-6.173925e+001
1.089640e+002	5.523000e+000	6.613955e-005	-6.179382e+001
1.090570e+002	5.616000e+000	6.613997e-005	-6.184014e+001
1.091670e+002	5.726000e+000	6.611345e-005	-6.181903e+001
1.092600e+002	5.819000e+000	6.607937e-005	-6.176562e+001
1.093690e+002	5.928000e+000	6.603862e-005	-6.176721e+001
1.094630e+002	6.022000e+000	6.597372e-005	-6.183220e+001
1.095720e+002	6.131000e+000	6.593519e-005	-6.187757e+001
1.096810e+002	6.240000e+000	6.600699e-005	-6.189533e+001
1.097750e+002	6.334000e+000	6.587955e-005	-6.200440e+001
1.098840e+002	6.443000e+000	6.580066e-005	-6.196053e+001
1.099780e+002	6.537000e+000	6.585481e-005	-6.199232e+001
1.100710e+002	6.630000e+000	6.573027e-005	-6.206434e+001
1.101810e+002	6.740000e+000	6.583524e-005	-6.199085e+001
1.102740e+002	6.833000e+000	6.568894e-005	-6.204350e+001
1.103680e+002	6.927000e+000	6.566343e-005	-6.210718e+001
1.104610e+002	7.020000e+000	6.568201e-005	-6.215696e+001
1.105710e+002	7.130000e+000	6.570167e-005	-6.206929e+001
1.106640e+002	7.223000e+000	6.560743e-005	-6.226731e+001
1.107580e+002	7.317000e+000	6.558582e-005	-6.219215e+001
1.108510e+002	7.410000e+000	6.547181e-005	-6.224113e+001
1.109610e+002	7.520000e+000	6.547952e-005	-6.218839e+001
1.110540e+002	7.613000e+000	6.554388e-005	-6.231774e+001
1.111630e+002	7.722000e+000	6.534941e-005	-6.226802e+001
1.112730e+002	7.832000e+000	6.530093e-005	-6.222792e+001
1.113660e+002	7.925000e+000	6.528559e-005	-6.219252e+001
1.114600e+002	8.019000e+000	6.527585e-005	-6.226149e+001
1.115690e+002	8.128000e+000	6.521515e-005	-6.234483e+001
1.116780e+002	8.237000e+000	6.516642e-005	-6.238819e+001
1.117720e+002	8.331000e+000	6.516366e-005	-6.238303e+001
1.118810e+002	8.440000e+000	6.513620e-005	-6.238896e+001
1.119750e+002	8.534000e+000	6.504062e-005	-6.240545e+001
1.120840e+002	8.643000e+000	6.494723e-005	-6.238189e+001
1.121930e+002	8.752000e+000	6.489087e-005	-6.232526e+001
1.122870e+002	8.846000e+000	6.485860e-005	-6.242760e+001
