TimeAll	TimeExperiment	R	Theta
3.230000e-001	7.900000e-002	6.691436e-005	-6.100602e+001
4.150000e-001	1.710000e-001	6.690873e-005	-6.097944e+001
5.079999e-001	2.639999e-001	6.678377e-005	-6.099278e+001
6.059999e-001	3.620000e-001	6.685457e-005	-6.097118e+001
6.980000e-001	4.540000e-001	6.689423e-005	-6.105516e+001
7.879999e-001	5.439999e-001	6.687741e-005	-6.097767e+001
8.789999e-001	6.350000e-001	6.687181e-005	-6.106756e+001
9.710000e-001	7.270000e-001	6.682764e-005	-6.103000e+001
1.065000e+000	8.209999e-001	6.676023e-005	-6.096112e+001
1.157000e+000	9.129999e-001	6.685720e-005	-6.097057e+001
1.251000e+000	1.007000e+000	6.684796e-005	-6.101512e+001
1.346000e+000	1.102000e+000	6.691719e-005	-6.102752e+001
1.491000e+000	1.247000e+000	6.683493e-005	-6.105640e+001
1.600000e+000	1.356000e+000	6.681946e-005	-6.102895e+001
1.694000e+000	1.450000e+000	6.690167e-005	-6.102193e+001
1.787000e+000	1.543000e+000	6.684552e-005	-6.094183e+001
1.896000e+000	1.652000e+000	6.689149e-005	-6.092302e+001
2.006000e+000	1.762000e+000	6.688738e-005	-6.099162e+001
2.115000e+000	1.871000e+000	6.682610e-005	-6.094322e+001
2.224000e+000	1.980000e+000	6.688752e-005	-6.091970e+001
2.318000e+000	2.074000e+000	6.688547e-005	-6.092908e+001
2.411000e+000	2.167000e+000	6.691753e-005	-6.098165e+001
2.520000e+000	2.276000e+000	6.678473e-005	-6.101381e+001
2.614000e+000	2.370000e+000	6.672500e-005	-6.096433e+001
2.708000e+000	2.464000e+000	6.678931e-005	-6.091951e+001
2.817000e+000	2.573000e+000	6.683906e-005	-6.099440e+001
2.926000e+000	2.682000e+000	6.687531e-005	-6.099650e+001
3.035000e+000	2.791000e+000	6.680094e-005	-6.098917e+001
3.144000e+000	2.900000e+000	6.702043e-005	-6.093365e+001
3.238000e+000	2.994000e+000	6.689068e-005	-6.102786e+001
3.332000e+000	3.088000e+000	6.689432e-005	-6.090086e+001
3.425000e+000	3.181000e+000	6.683305e-005	-6.096555e+001
3.534000e+000	3.290000e+000	6.688743e-005	-6.096572e+001
3.628000e+000	3.384000e+000	6.684298e-005	-6.098264e+001
3.737000e+000	3.493000e+000	6.682667e-005	-6.089430e+001
3.846000e+000	3.602000e+000	6.696700e-005	-6.102967e+001
3.940000e+000	3.696000e+000	6.687587e-005	-6.099014e+001
4.034000e+000	3.790000e+000	6.681843e-005	-6.104290e+001
4.127000e+000	3.883000e+000	6.677318e-005	-6.092026e+001
4.236000e+000	3.992000e+000	6.679352e-005	-6.095355e+001
4.330000e+000	4.086000e+000	6.687366e-005	-6.094130e+001
4.424000e+000	4.180000e+000	6.694328e-005	-6.095519e+001
4.517000e+000	4.273000e+000	6.689326e-005	-6.094263e+001
4.611000e+000	4.367000e+000	6.693365e-005	-6.098037e+001
4.720000e+000	4.476000e+000	6.677822e-005	-6.102842e+001
4.789000e+000	4.545000e+000	6.687838e-005	-6.093284e+001
4.882000e+000	4.638000e+000	6.681963e-005	-6.095313e+001
4.981000e+000	4.737000e+000	6.676445e-005	-6.094453e+001
5.073000e+000	4.829000e+000	6.683858e-005	-6.088541e+001
5.164000e+000	4.920000e+000	6.681482e-005	-6.096411e+001
5.254000e+000	5.010000e+000	6.681061e-005	-6.093410e+001
5.349000e+000	5.105000e+000	6.689805e-005	-6.090856e+001
5.440000e+000	5.196000e+000	6.674753e-005	-6.095593e+001
5.532000e+000	5.288000e+000	6.682820e-005	-6.097143e+001
5.648000e+000	5.404000e+000	6.676641e-005	-6.099729e+001
5.755000e+000	5.511000e+000	6.691048e-005	-6.086391e+001
5.849000e+000	5.605000e+000	6.680056e-005	-6.102093e+001
5.977000e+000	5.733000e+000	6.689676e-005	-6.096194e+001
6.086000e+000	5.842000e+000	6.698527e-005	-6.089624e+001
