TimeAll	TimeExperiment	R	Theta
9.362700e+001	7.999992e-002	6.699410e-005	-6.055152e+001
9.371700e+001	1.700001e-001	6.691072e-005	-6.059761e+001
9.381100e+001	2.639999e-001	6.690689e-005	-6.061591e+001
9.390100e+001	3.539999e-001	6.679501e-005	-6.071686e+001
9.399500e+001	4.480000e-001	6.683938e-005	-6.070836e+001
9.408800e+001	5.409999e-001	6.679362e-005	-6.068917e+001
9.418000e+001	6.329999e-001	6.688803e-005	-6.075576e+001
9.427000e+001	7.230000e-001	6.688416e-005	-6.075421e+001
9.436400e+001	8.169999e-001	6.687406e-005	-6.087056e+001
9.445800e+001	9.110000e-001	6.684633e-005	-6.089636e+001
9.454800e+001	1.001000e+000	6.692158e-005	-6.082983e+001
9.464300e+001	1.096000e+000	6.675546e-005	-6.094826e+001
9.473400e+001	1.187000e+000	6.678835e-005	-6.098141e+001
9.482800e+001	1.281000e+000	6.678575e-005	-6.098800e+001
9.492000e+001	1.373000e+000	6.678552e-005	-6.098161e+001
9.501100e+001	1.464000e+000	6.664441e-005	-6.106811e+001
9.510300e+001	1.556000e+000	6.672033e-005	-6.108469e+001
9.519800e+001	1.651000e+000	6.675324e-005	-6.108823e+001
9.529600e+001	1.749000e+000	6.673580e-005	-6.119623e+001
9.543900e+001	1.892000e+000	6.668694e-005	-6.117432e+001
9.550800e+001	1.961000e+000	6.664622e-005	-6.117418e+001
9.560000e+001	2.053000e+000	6.661365e-005	-6.130301e+001
9.569300e+001	2.146000e+000	6.669562e-005	-6.126957e+001
9.578300e+001	2.236000e+000	6.659378e-005	-6.134891e+001
9.587700e+001	2.330000e+000	6.665799e-005	-6.134740e+001
9.597000e+001	2.423000e+000	6.652682e-005	-6.139566e+001
9.606100e+001	2.514000e+000	6.654898e-005	-6.144915e+001
9.615000e+001	2.603000e+000	6.654557e-005	-6.144834e+001
9.624200e+001	2.695000e+000	6.636258e-005	-6.140093e+001
9.633400e+001	2.787000e+000	6.638916e-005	-6.151783e+001
9.642500e+001	2.878000e+000	6.639220e-005	-6.157502e+001
9.651800e+001	2.971000e+000	6.639603e-005	-6.156405e+001
9.664500e+001	3.098000e+000	6.629939e-005	-6.158604e+001
9.673900e+001	3.192000e+000	6.638445e-005	-6.161765e+001
9.684800e+001	3.301000e+000	6.631955e-005	-6.170696e+001
9.695700e+001	3.410000e+000	6.630677e-005	-6.180647e+001
9.706700e+001	3.520000e+000	6.632199e-005	-6.180588e+001
9.716000e+001	3.613000e+000	6.614793e-005	-6.181027e+001
9.725400e+001	3.707000e+000	6.615567e-005	-6.186696e+001
9.736300e+001	3.816000e+000	6.610052e-005	-6.181634e+001
9.747200e+001	3.925000e+000	6.607180e-005	-6.190894e+001
9.756600e+001	4.019000e+000	6.602644e-005	-6.193407e+001
9.767500e+001	4.128000e+000	6.602234e-005	-6.189091e+001
9.778400e+001	4.237000e+000	6.590319e-005	-6.195411e+001
9.787800e+001	4.331000e+000	6.596492e-005	-6.206962e+001
9.798700e+001	4.440000e+000	6.594296e-005	-6.204677e+001
9.808100e+001	4.534000e+000	6.580481e-005	-6.217386e+001
9.819000e+001	4.643000e+000	6.587562e-005	-6.213414e+001
9.828300e+001	4.736000e+000	6.569656e-005	-6.210121e+001
9.839300e+001	4.846000e+000	6.577196e-005	-6.212187e+001
9.850200e+001	4.955000e+000	6.572521e-005	-6.221875e+001
9.859500e+001	5.048000e+000	6.558644e-005	-6.217054e+001
9.868900e+001	5.142000e+000	6.552624e-005	-6.226898e+001
9.878300e+001	5.236000e+000	6.553792e-005	-6.226204e+001
9.887600e+001	5.329000e+000	6.558375e-005	-6.234700e+001
9.897000e+001	5.423000e+000	6.547862e-005	-6.233456e+001
9.906300e+001	5.516000e+000	6.535469e-005	-6.247350e+001
9.917300e+001	5.626000e+000	6.528622e-005	-6.238471e+001
9.928200e+001	5.735000e+000	6.521095e-005	-6.243396e+001
9.937500e+001	5.828000e+000	6.517160e-005	-6.235981e+001
9.946900e+001	5.922000e+000	6.508873e-005	-6.249737e+001
9.957800e+001	6.031000e+000	6.507579e-005	-6.246626e+001
9.967200e+001	6.125000e+000	6.504981e-005	-6.248377e+001
9.976500e+001	6.218000e+000	6.509219e-005	-6.247050e+001
9.985900e+001	6.312000e+000	6.496527e-005	-6.252476e+001
9.995300e+001	6.406000e+000	6.478167e-005	-6.259262e+001
1.000460e+002	6.499000e+000	6.485886e-005	-6.243771e+001
1.001550e+002	6.608000e+000	6.475862e-005	-6.253157e+001
1.002650e+002	6.718000e+000	6.467265e-005	-6.259323e+001
1.003740e+002	6.827000e+000	6.469911e-005	-6.254634e+001
1.004670e+002	6.920000e+000	6.456537e-005	-6.263345e+001
1.005610e+002	7.014000e+000	6.452548e-005	-6.251451e+001
1.006700e+002	7.123000e+000	6.450155e-005	-6.253958e+001
1.007790e+002	7.232000e+000	6.448753e-005	-6.260562e+001
1.008890e+002	7.342000e+000	6.426643e-005	-6.264693e+001
