TimeAll	TimeExperiment	R	Theta
2.190060e+002	8.099985e-002	6.658442e-005	-6.074427e+001
2.191340e+002	2.089999e-001	6.647870e-005	-6.066809e+001
2.192430e+002	3.179998e-001	6.656444e-005	-6.061691e+001
2.193370e+002	4.119999e-001	6.640446e-005	-6.066140e+001
2.194310e+002	5.060000e-001	6.638795e-005	-6.070444e+001
2.195240e+002	5.990000e-001	6.645689e-005	-6.063299e+001
2.196180e+002	6.929998e-001	6.654701e-005	-6.056657e+001
2.197110e+002	7.860000e-001	6.638216e-005	-6.066148e+001
2.198210e+002	8.959999e-001	6.646393e-005	-6.053230e+001
2.199140e+002	9.889998e-001	6.645124e-005	-6.066579e+001
2.200230e+002	1.098000e+000	6.639201e-005	-6.068128e+001
2.201330e+002	1.208000e+000	6.650919e-005	-6.072775e+001
2.202420e+002	1.317000e+000	6.635650e-005	-6.069825e+001
2.203350e+002	1.410000e+000	6.648039e-005	-6.070095e+001
2.204290e+002	1.504000e+000	6.640427e-005	-6.081076e+001
2.205230e+002	1.598000e+000	6.644698e-005	-6.075985e+001
2.206320e+002	1.707000e+000	6.646419e-005	-6.081316e+001
2.207250e+002	1.800000e+000	6.650844e-005	-6.075745e+001
2.208190e+002	1.894000e+000	6.637723e-005	-6.072294e+001
2.209130e+002	1.988000e+000	6.644577e-005	-6.072988e+001
2.210220e+002	2.097000e+000	6.650771e-005	-6.065818e+001
2.211310e+002	2.206000e+000	6.644386e-005	-6.077179e+001
2.212400e+002	2.315000e+000	6.635889e-005	-6.080687e+001
2.213490e+002	2.424000e+000	6.645671e-005	-6.075373e+001
2.214590e+002	2.534000e+000	6.643250e-005	-6.077702e+001
2.215520e+002	2.627000e+000	6.635138e-005	-6.079777e+001
2.216460e+002	2.721000e+000	6.642115e-005	-6.089758e+001
2.217390e+002	2.814000e+000	6.625061e-005	-6.082305e+001
2.218490e+002	2.924000e+000	6.632663e-005	-6.088660e+001
2.219580e+002	3.033000e+000	6.634684e-005	-6.085392e+001
2.220510e+002	3.126000e+000	6.637230e-005	-6.091875e+001
2.221450e+002	3.220000e+000	6.640107e-005	-6.090856e+001
2.222540e+002	3.329000e+000	6.637757e-005	-6.081453e+001
2.223480e+002	3.423000e+000	6.633890e-005	-6.095420e+001
2.224410e+002	3.516000e+000	6.630920e-005	-6.084381e+001
2.225510e+002	3.626000e+000	6.642902e-005	-6.094240e+001
2.226440e+002	3.719000e+000	6.633308e-005	-6.088234e+001
2.227530e+002	3.828000e+000	6.625929e-005	-6.091971e+001
2.228630e+002	3.938000e+000	6.636856e-005	-6.096110e+001
2.229720e+002	4.047000e+000	6.647270e-005	-6.094873e+001
2.230650e+002	4.140000e+000	6.640386e-005	-6.092559e+001
2.231590e+002	4.234000e+000	6.639787e-005	-6.094658e+001
2.232530e+002	4.328000e+000	6.632780e-005	-6.100153e+001
2.233460e+002	4.421000e+000	6.637575e-005	-6.096242e+001
2.234400e+002	4.515000e+000	6.633734e-005	-6.098607e+001
2.235330e+002	4.608000e+000	6.633570e-005	-6.099480e+001
2.236270e+002	4.702000e+000	6.635038e-005	-6.108285e+001
2.237210e+002	4.796000e+000	6.632044e-005	-6.097723e+001
2.238140e+002	4.889000e+000	6.627796e-005	-6.096373e+001
2.239080e+002	4.983000e+000	6.624591e-005	-6.092431e+001
2.240010e+002	5.076000e+000	6.629201e-005	-6.095504e+001
2.241110e+002	5.186000e+000	6.631218e-005	-6.101337e+001
2.242040e+002	5.279000e+000	6.630725e-005	-6.104174e+001
2.243130e+002	5.388000e+000	6.629688e-005	-6.101907e+001
2.244230e+002	5.498000e+000	6.616201e-005	-6.101307e+001
2.245160e+002	5.591000e+000	6.627350e-005	-6.100611e+001
2.246100e+002	5.685000e+000	6.631476e-005	-6.102596e+001
2.247030e+002	5.778000e+000	6.630600e-005	-6.088466e+001
2.247970e+002	5.872000e+000	6.630303e-005	-6.107006e+001
2.249060e+002	5.981000e+000	6.618816e-005	-6.099176e+001
2.250000e+002	6.075000e+000	6.622326e-005	-6.106525e+001
