TimeAll	TimeExperiment	R	Theta
8.365900e+001	7.900000e-002	6.700775e-005	-6.044719e+001
8.378700e+001	2.070000e-001	6.694099e-005	-6.061162e+001
8.388100e+001	3.009999e-001	6.698519e-005	-6.055904e+001
8.397400e+001	3.940001e-001	6.700191e-005	-6.061833e+001
8.408400e+001	5.039999e-001	6.676638e-005	-6.058501e+001
8.417700e+001	5.969999e-001	6.686000e-005	-6.069473e+001
8.427100e+001	6.910000e-001	6.688276e-005	-6.072884e+001
8.438000e+001	8.000000e-001	6.689726e-005	-6.070677e+001
8.447400e+001	8.940001e-001	6.688459e-005	-6.079246e+001
8.456700e+001	9.870000e-001	6.687315e-005	-6.085425e+001
8.466100e+001	1.081000e+000	6.691029e-005	-6.091115e+001
8.475400e+001	1.174000e+000	6.682370e-005	-6.086883e+001
8.486400e+001	1.284000e+000	6.678985e-005	-6.090714e+001
8.497300e+001	1.393000e+000	6.667987e-005	-6.100144e+001
8.508200e+001	1.502000e+000	6.679334e-005	-6.099984e+001
8.517600e+001	1.596000e+000	6.673158e-005	-6.106004e+001
8.528500e+001	1.705000e+000	6.681598e-005	-6.111839e+001
8.539400e+001	1.814000e+000	6.668178e-005	-6.111480e+001
8.548800e+001	1.908000e+000	6.669714e-005	-6.117236e+001
8.558100e+001	2.001000e+000	6.664233e-005	-6.112048e+001
8.569000e+001	2.110000e+000	6.659487e-005	-6.125338e+001
8.580000e+001	2.220000e+000	6.662205e-005	-6.133325e+001
8.589300e+001	2.313000e+000	6.663134e-005	-6.127135e+001
8.598700e+001	2.407000e+000	6.658746e-005	-6.135935e+001
8.608000e+001	2.500000e+000	6.662792e-005	-6.141879e+001
8.617400e+001	2.594000e+000	6.650663e-005	-6.137067e+001
8.626800e+001	2.688000e+000	6.650799e-005	-6.153596e+001
8.637700e+001	2.797000e+000	6.645289e-005	-6.149277e+001
8.647100e+001	2.891000e+000	6.644021e-005	-6.156793e+001
8.658000e+001	3.000000e+000	6.640991e-005	-6.152328e+001
8.668900e+001	3.109000e+000	6.635695e-005	-6.167038e+001
8.678300e+001	3.203000e+000	6.643719e-005	-6.169779e+001
8.687600e+001	3.296000e+000	6.625122e-005	-6.172396e+001
8.697000e+001	3.390000e+000	6.615088e-005	-6.180293e+001
8.707900e+001	3.499000e+000	6.625048e-005	-6.173784e+001
8.718800e+001	3.608000e+000	6.625688e-005	-6.181535e+001
8.729700e+001	3.717000e+000	6.609915e-005	-6.187335e+001
8.740700e+001	3.827000e+000	6.599792e-005	-6.193599e+001
8.751600e+001	3.936000e+000	6.607555e-005	-6.201132e+001
8.762500e+001	4.045000e+000	6.594268e-005	-6.200557e+001
8.771900e+001	4.139000e+000	6.596146e-005	-6.205853e+001
8.782800e+001	4.248000e+000	6.592968e-005	-6.207764e+001
8.792100e+001	4.341000e+000	6.595146e-005	-6.205120e+001
8.801500e+001	4.435000e+000	6.579581e-005	-6.212667e+001
8.810900e+001	4.529000e+000	6.586347e-005	-6.213318e+001
8.820200e+001	4.622000e+000	6.576328e-005	-6.213941e+001
8.831100e+001	4.731000e+000	6.562655e-005	-6.223589e+001
8.842100e+001	4.841000e+000	6.572629e-005	-6.227413e+001
8.851400e+001	4.934000e+000	6.548598e-005	-6.232292e+001
8.860800e+001	5.028000e+000	6.549688e-005	-6.224632e+001
8.870100e+001	5.121000e+000	6.546771e-005	-6.232312e+001
8.879500e+001	5.215000e+000	6.540637e-005	-6.225079e+001
8.888900e+001	5.309000e+000	6.535044e-005	-6.236854e+001
8.899800e+001	5.418000e+000	6.539851e-005	-6.241980e+001
8.910700e+001	5.527000e+000	6.523619e-005	-6.242987e+001
8.921600e+001	5.636000e+000	6.507889e-005	-6.244943e+001
8.932500e+001	5.745000e+000	6.512294e-005	-6.248048e+001
8.941900e+001	5.839000e+000	6.504170e-005	-6.252992e+001
8.952800e+001	5.948000e+000	6.502395e-005	-6.253064e+001
8.963700e+001	6.057000e+000	6.492107e-005	-6.260542e+001
8.973100e+001	6.151000e+000	6.484000e-005	-6.260542e+001
8.984000e+001	6.260000e+000	6.488556e-005	-6.256659e+001
