Time	FrequencyExternal	FrequencyGenerator	ThetaPeak
190.31200006289873272181	95069.10156199999619275331	95067.87680552873644046485	100.54433441000000470922
198.92100006295368075371	95077.87500000000000000000	95076.74866221765114460140	100.35234832999999809999
207.89500006299931555986	95086.65625000000000000000	95085.57638031606620643288	100.38999938999999983480
216.71400006290059536695	95095.42968800000380724669	95094.36017941897443961352	100.70390319999999917400
224.97500006295740604401	95104.32031199999619275331	95103.10027802882541436702	100.72559357000000090920
233.90200006298255175352	95112.96875000000000000000	95111.79689356102608144283	100.81378936999999496038
242.83500006294343620539	95121.85937500000000000000	95120.45024234928132500499	101.00466156000000239601
252.04600006295368075371	95130.03906199999619275331	95129.06053965102182701230	101.14289092999999297717
260.87700006295926868916	95138.76562500000000000000	95137.62799965275917202234	101.50680542000000627922
269.88900006294716149569	95147.34375000000000000000	95146.15283547538274433464	102.02481842000000256121
279.78600006294436752796	95155.74218800000380724669	95154.63525917948572896421	102.04334258999999462958
290.50100006291177123785	95164.28125000000000000000	95163.07548177063290495425	102.30467987000000107400
300.81300006294623017311	95172.57031199999619275331	95171.47371320461388677359	102.60527039000000115720
311.22600006288848817348	95180.89843800000380724669	95179.83016239265270996839	102.96664429000000495762
321.53800006292294710875	95189.43750000000000000000	95188.14503720661741681397	102.93785857999999677759
331.76700006297323852777	95197.63281199999619275331	95196.41854448420053813607	103.30697632000000396602
341.48600006289780139923	95205.86718800000380724669	95204.65089003402681555599	103.97410582999999917320
351.99900006293319165707	95213.87500000000000000000	95212.84227864081913139671	103.85322571000000380081
362.76100006292108446360	95222.35937500000000000000	95220.99291407046257518232	104.00658416999999644759
373.18000006291549652815	95230.26562500000000000000	95229.10299907508306205273	104.22058105000000693963
384.24500006297603249550	95238.42187500000000000000	95237.17273539809684734792	104.32712555000000520522
395.52400006295647472143	95246.27343800000380724669	95245.20232377920183353126	104.30982208000000355241
406.60700006294064223766	95254.32812500000000000000	95253.19196395939798094332	104.07702636999999867840
418.42700006288941949606	95262.34375000000000000000	95261.14185468596406280994	104.07423400999999785199
430.18300006294157356024	95270.45312500000000000000	95269.05219371737621258944	103.92765808000000049560
442.29400006297510117292	95278.11718800000380724669	95276.92317782824102323502	103.82943726000000594922
455.10700006294064223766	95286.06250000000000000000	95284.75500281417043879628	103.73319243999999628159
467.35800006298813968897	95293.67968800000380724669	95292.54786349668574985117	103.60659789999999702559
480.55700006289407610893	95301.45312500000000000000	95300.30195372804882936180	103.28968048000000123920
493.41300006292294710875	95309.23437500000000000000	95308.01746639606426469982	103.38755797999999685999
506.04300006292760372162	95316.95312500000000000000	95315.69459342892514541745	103.04686737000000107400
519.42700006288941949606	95324.11718800000380724669	95323.33352579992788378149	102.76659392999999909080
533.54000006290152668953	95332.20312500000000000000	95330.93445353225979488343	102.61364745999999570358
548.29700006288476288319	95339.35937500000000000000	95338.49756570374302100390	102.39027405000000214841
563.13400006294250488281	95347.10156199999619275331	95346.02305045149114448577	102.00804900999999347277
578.38500006299000233412	95354.51562500000000000000	95353.51109497660945635289	101.79659270999999876040
594.86700006294995546341	95362.18750000000000000000	95360.96188554886612109840	101.50979614000000594842
610.57400006288662552834	95369.21875000000000000000	95368.37560751130513381213	101.19599915000000578402
627.05300006293691694736	95376.67187500000000000000	95375.75244528487382922322	100.75286101999999743839
644.22300006297882646322	95384.16406199999619275331	95383.09258237300673499703	100.71706389999999942120
662.00100006291177123785	95391.66406199999619275331	95390.39620136618032120168	100.52126312000000041280
678.62400006293319165707	95398.93750000000000000000	95397.66348394645319785923	100.30693816999999512518
696.97400006290990859270	95406.01562500000000000000	95404.89461089199176058173	100.04697418000000652683
713.27900006296113133430	95413.32812500000000000000	95412.08976208158128429204	100.00907134999999925640
732.31900006299838423729	95420.52343800000380724669	95419.24911649907880928367	99.67930603000000644442
750.89500006299931555986	95427.53906199999619275331	95426.37285223789513111115	99.71826171899999735615
770.07400006288662552834	95434.66406199999619275331	95433.46114650537492707372	99.73181915300000355273
788.01000006299000233412	95441.54687500000000000000	95440.51417562723509036005	99.67128753699999776927
806.58100006298627704382	95448.43750000000000000000	95447.53211505197396036237	99.62173461899999438174
826.11700006294995546341	95455.67187500000000000000	95454.51513935519324149936	99.64038848900000289177
846.46600006299559026957	95462.31250000000000000000	95461.46342224397812969983	99.63845062299999710831
867.18400006298907101154	95469.75781199999619275331	95468.37713656117557547987	99.60725402799999983472
888.60100006288848817348	95476.26562500000000000000	95475.25645428973075468093	99.62448120099999471222
909.63800006289966404438	95483.22656199999619275331	95482.10154655695077963173	99.62052917500000148721
933.32500006293412297964	95490.11718800000380724669	95488.91258363875385839492	99.65453338599999710823
957.58400006289593875408	95496.85156199999619275331	95495.68973496393300592899	99.79859161400000289177
981.46800006297416985035	95503.46093800000380724669	95502.43316911834699567407	99.88371276899999884336
1006.58000006293877959251	95510.28125000000000000000	95509.14305384909675922245	100.07451629999999909160
1032.34300006297416985035	95516.66406199999619275331	95515.81955606875999365002	100.27557373000000495722
1060.12600006291177123785	95523.61718800000380724669	95522.46284185946569778025	100.17797851999999636519
1087.05700006289407610893	95530.14843800000380724669	95529.07307647708512376994	100.23952484000000140441
1115.83200006291735917330	95536.76562500000000000000	95535.65042435530631337315	100.27227019999999413358
1145.11400006292387843132	95543.34375000000000000000	95542.19504910975228995085	100.34694672000000537082
1175.49500006297603249550	95549.85156199999619275331	95548.70711354204104281962	100.53143310999999471278
1207.40900006296578794718	95556.46875000000000000000	95555.18677964381640776992	100.57630156999999826439
1239.12800006289035081863	95562.50781199999619275331	95561.63420860080805141479	100.70131682999999611638
1270.90600006293971091509	95569.29687500000000000000	95568.04956079681869596243	100.83196259000000338801
1305.41000006289687007666	95575.60937500000000000000	95574.43299581772589590400	101.03050994999999545598
1341.52800006291363388300	95581.94531199999619275331	95580.78467245545471087098	101.03372955000000388281
1377.99300006299745291471	95588.46093800000380724669	95587.10474871189217083156	100.91867064999999570318
1417.24800006288569420576	95594.42968800000380724669	95593.39338180287450086325	100.93508911000000694003
1458.51600006292574107647	95600.97656199999619275331	95599.65072816205793060362	100.87316894999999306037
1497.87800006289035081863	95607.08593800000380724669	95605.87694344483315944672	100.93218231000000173481
1542.70100006298162043095	95613.12500000000000000000	95612.07218253216706216335	100.94352722000000710523
1589.64600006293039768934	95619.32031199999619275331	95618.23659953448805026710	101.05827331999999785239
1638.61600006290245801210	95625.53125000000000000000	95624.37034779551322571933	101.34710692999999537278
1687.70400006289128214121	95631.74218800000380724669	95630.47357989603187888861	101.62483215000000313921
1740.16900006297510117292	95637.89843800000380724669	95636.54644765774719417095	101.89333344000000636242
1798.29400006297510117292	95643.90625000000000000000	95642.58910214701609220356	102.07494354000000669203
1856.93600006296765059233	95649.60156199999619275331	95648.60169367861817590892	102.29248809999999991760
1921.16300006292294710875	95655.60937500000000000000	95654.58437181952467653900	102.46943665000000578402
1990.08500006294343620539	95661.74218800000380724669	95660.53728539256553631276	102.50882721000000685763
2061.46200006292201578617	95667.63281199999619275331	95666.46058248016925062984	102.34587860000000603122
2135.65900006296578794718	95673.83593800000380724669	95672.35441042802995070815	102.06352234000000578362
2220.01600006292574107647	95679.36718800000380724669	95678.21891584878903813660	101.60291290000000685723
2314.85500006296206265688	95685.25781199999619275331	95684.05424462565861176699	101.21006774999999322517
2407.34400006290525197983	95691.10937500000000000000	95689.86054191607399843633	100.68278503000000512202
2423.45400006289128214121	95696.78125000000000000000	95695.63795215530262794346	111.15153503000000512202
